date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,14,9,0.0,10.5,4,4,37,12:14 PM,No moonset,07:50 AM,06:03 PM,6,11,12,11,15,36,69,0.0,1019,14,10,110,10
2020-01-02,21,17,0.0,5.3,5,5,44,12:44 PM,12:06 AM,07:50 AM,06:04 PM,18,20,20,20,46,74,88,4.1,1011,21,10,173,27
2020-01-03,21,11,0.0,5.3,4,4,51,01:14 PM,12:59 AM,07:50 AM,06:04 PM,17,18,18,18,29,85,92,23.7,1012,21,9,193,16
2020-01-04,16,10,0.0,8.4,4,4,59,01:44 PM,01:52 AM,07:50 AM,06:05 PM,9,13,14,13,29,41,73,0.9,1021,16,10,321,20
2020-01-05,15,7,0.0,10.6,4,4,66,02:16 PM,02:46 AM,07:50 AM,06:06 PM,3,9,10,9,15,0,61,0.0,1029,15,10,185,9
2020-01-06,17,10,0.0,10.0,4,4,73,02:52 PM,03:42 AM,07:50 AM,06:07 PM,8,13,14,13,19,17,69,0.0,1024,17,10,244,11
2020-01-07,16,11,0.0,8.4,3,3,80,03:33 PM,04:40 AM,07:51 AM,06:07 PM,7,12,14,12,29,46,66,0.0,1024,16,10,338,18
2020-01-08,15,8,0.0,10.6,4,4,88,04:19 PM,05:41 AM,07:51 AM,06:08 PM,3,9,11,9,22,4,59,0.0,1030,15,10,85,13
2020-01-09,19,13,0.0,5.3,4,4,95,05:13 PM,06:42 AM,07:51 AM,06:09 PM,13,15,16,15,40,61,78,0.7,1027,19,10,133,24
2020-01-10,20,16,0.0,5.3,4,4,100,06:13 PM,07:42 AM,07:51 AM,06:10 PM,18,19,19,19,45,96,88,7.7,1022,20,7,122,26
2020-01-11,22,16,0.0,6.9,5,5,100,07:19 PM,08:38 AM,07:51 AM,06:11 PM,17,19,20,19,50,74,88,12.5,1017,22,9,200,27
2020-01-12,18,13,0.0,5.3,3,3,83,08:26 PM,09:30 AM,07:51 AM,06:11 PM,14,14,15,14,15,75,90,9.8,1023,18,10,60,9
2020-01-13,22,17,0.0,5.3,5,5,76,09:34 PM,10:15 AM,07:51 AM,06:12 PM,19,19,20,19,18,88,95,17.2,1024,22,8,157,10
2020-01-14,22,19,0.0,5.3,5,5,69,10:41 PM,10:57 AM,07:50 AM,06:13 PM,19,20,21,20,20,74,92,1.2,1023,22,5,196,10
2020-01-15,22,19,0.0,10.6,6,6,61,11:46 PM,11:35 AM,07:50 AM,06:14 PM,19,20,21,20,17,36,91,0.0,1022,22,5,205,9
2020-01-16,21,16,0.0,5.3,5,5,54,No moonrise,12:11 PM,07:50 AM,06:15 PM,17,19,19,19,19,72,87,4.3,1026,21,7,27,11
2020-01-17,18,12,0.0,6.9,4,4,47,12:50 AM,12:47 PM,07:50 AM,06:16 PM,9,14,15,14,35,62,68,0.0,1028,18,10,94,23
2020-01-18,21,18,0.0,5.3,4,4,40,01:53 AM,01:24 PM,07:50 AM,06:16 PM,17,19,19,19,32,90,88,12.2,1022,21,9,177,18
2020-01-19,11,8,0.0,10.7,3,3,32,02:56 AM,02:04 PM,07:50 AM,06:17 PM,4,9,11,9,33,36,63,2.4,1024,11,10,119,24
2020-01-20,8,2,0.0,10.7,2,2,25,03:59 AM,02:47 PM,07:49 AM,06:18 PM,-3,1,5,1,30,4,56,0.0,1030,8,10,120,22
2020-01-21,7,0,0.0,10.7,2,2,18,05:01 AM,03:34 PM,07:49 AM,06:19 PM,-5,-1,3,-1,28,1,58,0.0,1031,7,10,5,20
2020-01-22,9,2,0.0,10.0,3,3,11,06:00 AM,04:25 PM,07:49 AM,06:20 PM,-3,2,6,2,20,46,56,0.0,1027,9,10,82,14
2020-01-23,16,9,0.0,5.4,3,3,3,06:55 AM,05:20 PM,07:48 AM,06:21 PM,10,11,12,11,20,78,86,6.6,1018,16,7,127,13
2020-01-24,16,11,0.0,10.7,4,4,0,07:44 AM,06:16 PM,07:48 AM,06:22 PM,8,12,13,12,23,24,74,0.1,1017,16,8,300,15
2020-01-25,14,7,0.0,10.0,4,4,0,08:28 AM,07:14 PM,07:48 AM,06:23 PM,4,9,10,9,15,19,69,0.0,1022,14,10,302,10
2020-01-26,11,4,0.0,5.4,3,3,4,09:08 AM,08:09 PM,07:47 AM,06:23 PM,8,9,10,9,12,71,84,12.0,1019,11,9,186,8
2020-01-27,18,11,0.0,10.8,4,4,11,09:43 AM,09:04 PM,07:47 AM,06:24 PM,12,13,14,13,13,45,86,3.2,1015,18,9,18,9
2020-01-28,15,10,0.0,10.8,4,4,18,10:14 AM,09:57 PM,07:46 AM,06:25 PM,8,11,12,11,18,10,76,0.0,1016,15,10,109,11
2020-01-29,15,10,0.0,5.4,3,3,26,10:44 AM,10:50 PM,07:46 AM,06:26 PM,10,11,13,11,28,70,83,11.8,1013,15,9,73,18
2020-01-30,15,8,0.0,10.8,4,4,33,11:14 AM,11:42 PM,07:45 AM,06:27 PM,7,9,11,9,20,16,76,0.0,1018,15,10,76,14
2020-01-31,14,11,0.0,5.4,3,3,37,11:43 AM,No moonset,07:45 AM,06:28 PM,11,12,13,12,18,86,88,15.3,1017,14,9,21,12
2020-02-01,14,9,0.0,7.0,3,3,49,12:14 PM,12:35 AM,07:44 AM,06:29 PM,7,9,11,9,22,56,78,0.3,1020,14,10,312,15
2020-02-02,16,9,0.0,10.9,4,4,57,12:47 PM,01:30 AM,07:43 AM,06:30 PM,7,11,12,11,24,0,70,0.0,1022,16,10,251,15
