date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,32,21,0.0,11.1,7,7,37,12:30 PM,No moonset,07:45 AM,06:54 PM,19,27,27,26,12,13,70,0.0,1013,32,10,159,9
2020-01-02,29,21,0.0,11.1,7,7,44,01:05 PM,12:36 AM,07:45 AM,06:55 PM,19,26,26,25,10,29,74,0.0,1011,29,10,182,8
2020-01-03,28,22,0.0,8.6,6,6,51,01:41 PM,01:23 AM,07:45 AM,06:55 PM,20,26,26,24,9,54,76,0.3,1013,28,10,193,7
2020-01-04,24,16,0.0,11.1,6,6,59,02:16 PM,02:09 AM,07:46 AM,06:56 PM,15,24,24,22,37,24,64,0.0,1021,24,10,19,30
2020-01-05,24,20,0.0,11.1,6,6,66,02:54 PM,02:58 AM,07:46 AM,06:57 PM,14,24,24,22,41,8,60,0.0,1021,24,10,26,34
2020-01-06,30,17,0.0,11.1,6,6,73,03:36 PM,03:49 AM,07:46 AM,06:57 PM,15,24,24,23,27,3,62,0.0,1018,30,10,23,20
2020-01-07,27,19,0.0,11.1,6,6,80,04:21 PM,04:42 AM,07:47 AM,06:58 PM,15,24,24,23,33,3,64,0.0,1017,27,10,20,25
2020-01-08,27,19,0.0,11.1,6,6,88,05:12 PM,05:39 AM,07:47 AM,06:58 PM,15,25,25,23,35,4,61,0.0,1018,27,10,26,28
2020-01-09,32,19,0.0,11.1,7,7,95,06:07 PM,06:37 AM,07:47 AM,06:59 PM,16,26,26,25,21,6,61,0.0,1015,32,10,131,15
2020-01-10,32,17,0.0,11.5,7,7,100,07:07 PM,07:37 AM,07:47 AM,07:00 PM,16,26,26,25,15,6,63,0.0,1013,32,10,169,9
2020-01-11,32,19,0.0,11.5,7,7,100,08:10 PM,08:34 AM,07:47 AM,07:00 PM,16,27,27,26,18,5,57,0.0,1012,32,10,291,12
2020-01-12,29,21,0.0,11.5,7,7,83,09:13 PM,09:30 AM,07:48 AM,07:01 PM,18,27,27,25,32,16,64,0.1,1014,29,10,28,25
2020-01-13,31,22,0.0,11.5,7,7,76,10:14 PM,10:21 AM,07:48 AM,07:02 PM,18,27,27,26,24,4,63,0.0,1014,31,10,24,19
2020-01-14,33,22,0.0,11.5,7,7,69,11:14 PM,11:08 AM,07:48 AM,07:02 PM,18,29,29,28,23,6,61,0.0,1013,33,10,26,18
2020-01-15,33,21,0.0,11.6,7,7,61,No moonrise,11:53 AM,07:48 AM,07:03 PM,18,29,29,27,19,5,62,0.0,1013,33,10,37,15
2020-01-16,31,21,0.0,11.6,7,7,54,12:12 AM,12:36 PM,07:48 AM,07:03 PM,18,27,27,26,28,2,63,0.0,1014,31,10,25,22
2020-01-17,30,21,0.0,11.6,7,7,47,01:09 AM,01:19 PM,07:48 AM,07:04 PM,17,27,27,25,27,6,63,0.0,1014,30,10,25,22
2020-01-18,31,21,0.0,11.6,7,7,40,02:05 AM,02:02 PM,07:48 AM,07:05 PM,18,28,28,26,24,5,64,0.0,1013,31,10,26,18
2020-01-19,30,22,0.0,11.6,7,7,32,03:02 AM,02:48 PM,07:48 AM,07:05 PM,18,27,27,26,31,6,62,0.0,1014,30,10,24,24
2020-01-20,28,21,0.0,11.6,7,7,25,04:00 AM,03:36 PM,07:48 AM,07:06 PM,16,26,26,24,34,6,60,0.0,1018,28,10,21,28
2020-01-21,25,20,0.0,11.6,6,6,18,04:57 AM,04:26 PM,07:48 AM,07:06 PM,14,24,24,22,39,10,59,0.0,1019,25,10,25,31
2020-01-22,29,19,0.0,11.6,6,6,11,05:54 AM,05:20 PM,07:48 AM,07:07 PM,14,24,24,23,21,8,59,0.0,1016,29,10,104,16
2020-01-23,27,18,0.0,11.6,6,6,3,06:48 AM,06:14 PM,07:48 AM,07:08 PM,16,24,24,23,11,8,66,0.0,1013,27,10,189,8
2020-01-24,29,19,0.0,11.6,7,7,0,07:40 AM,07:08 PM,07:48 AM,07:08 PM,17,25,25,24,17,11,67,0.0,1014,29,10,26,12
2020-01-25,30,20,0.0,11.6,7,7,0,08:27 AM,08:01 PM,07:48 AM,07:09 PM,17,26,26,24,14,19,66,0.1,1015,30,10,202,10
2020-01-26,29,20,0.0,11.6,7,7,4,09:11 AM,08:52 PM,07:48 AM,07:09 PM,17,26,26,24,11,5,67,0.0,1015,29,10,199,7
2020-01-27,32,19,0.0,11.6,7,7,11,09:51 AM,09:42 PM,07:48 AM,07:10 PM,18,25,25,24,11,7,69,0.0,1014,32,10,167,8
2020-01-28,28,19,0.0,11.6,6,6,18,10:28 AM,10:29 PM,07:48 AM,07:10 PM,18,25,25,24,10,21,74,0.0,1012,28,10,191,7
2020-01-29,31,18,0.0,11.6,7,7,26,11:03 AM,11:16 PM,07:48 AM,07:11 PM,17,25,25,24,11,13,67,0.0,1013,31,10,162,7
2020-01-30,30,19,0.0,11.6,7,7,33,11:38 AM,No moonset,07:47 AM,07:11 PM,17,25,25,24,14,11,71,0.0,1013,30,10,156,10
2020-01-31,31,20,0.0,11.6,7,7,37,12:13 PM,12:02 AM,07:47 AM,07:12 PM,16,26,26,25,11,5,61,0.0,1013,31,10,239,7
2020-02-01,29,23,0.0,11.6,7,7,49,12:50 PM,12:50 AM,07:47 AM,07:12 PM,17,27,27,25,34,10,64,0.0,1017,29,10,23,27
2020-02-02,26,20,0.0,11.6,6,6,57,01:29 PM,01:39 AM,07:47 AM,07:13 PM,14,24,24,23,36,3,60,0.0,1017,26,10,24,29
