date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,22,0.0,5.7,5,5,37,11:02 AM,11:09 PM,06:16 AM,05:30 PM,21,26,26,24,8,63,82,1.0,1015,28,10,69,6
2020-01-02,29,21,0.0,8.7,7,7,44,11:38 AM,11:55 PM,06:16 AM,05:30 PM,21,26,26,24,10,13,82,0.0,1013,29,8,64,7
2020-01-03,31,21,0.0,8.7,7,7,51,12:13 PM,No moonset,06:17 AM,05:31 PM,19,27,27,25,11,3,70,0.0,1013,31,10,88,6
2020-01-04,29,23,0.0,5.7,6,6,59,12:49 PM,12:42 AM,06:17 AM,05:31 PM,21,27,27,25,14,52,82,9.8,1018,29,9,283,9
2020-01-05,22,19,0.0,4.2,5,5,66,01:28 PM,01:30 AM,06:17 AM,05:32 PM,20,21,22,21,18,99,95,67.5,1022,22,6,266,12
2020-01-06,20,19,0.0,4.2,4,4,73,02:09 PM,02:20 AM,06:18 AM,05:33 PM,18,19,19,19,12,99,92,6.5,1020,20,5,231,8
2020-01-07,23,20,0.0,4.2,5,5,80,02:55 PM,03:13 AM,06:18 AM,05:33 PM,20,21,23,21,13,97,95,29.4,1019,23,8,90,8
2020-01-08,26,21,0.0,4.2,5,5,88,03:46 PM,04:09 AM,06:18 AM,05:34 PM,21,25,25,23,11,77,89,28.8,1020,26,8,125,6
2020-01-09,26,20,0.0,5.7,5,5,95,04:41 PM,05:08 AM,06:18 AM,05:34 PM,21,24,24,22,7,74,90,1.7,1017,26,9,242,5
2020-01-10,28,21,0.0,7.2,5,5,100,05:41 PM,06:07 AM,06:19 AM,05:35 PM,21,26,26,24,9,51,86,1.8,1015,28,8,77,6
2020-01-11,29,20,0.0,7.2,6,6,100,06:43 PM,07:05 AM,06:19 AM,05:36 PM,21,26,26,24,9,44,82,1.3,1014,29,10,95,6
2020-01-12,28,22,0.0,7.2,6,6,83,07:46 PM,08:01 AM,06:19 AM,05:36 PM,21,27,27,24,9,46,83,2.6,1015,28,10,47,6
2020-01-13,28,21,0.0,5.7,6,6,76,08:47 PM,08:52 AM,06:19 AM,05:37 PM,21,27,27,24,13,54,84,3.7,1016,28,10,95,9
2020-01-14,29,22,0.0,7.2,6,6,69,09:47 PM,09:40 AM,06:19 AM,05:37 PM,22,27,27,25,16,59,84,1.5,1016,29,9,72,11
2020-01-15,28,21,0.0,8.7,7,7,61,10:44 PM,10:25 AM,06:19 AM,05:38 PM,21,26,26,24,12,34,82,0.4,1016,28,10,72,8
2020-01-16,27,21,0.0,4.2,5,5,54,11:41 PM,11:09 AM,06:20 AM,05:38 PM,21,26,26,24,14,71,85,5.1,1016,27,10,100,9
2020-01-17,27,21,0.0,7.2,5,5,47,No moonrise,11:52 AM,06:20 AM,05:39 PM,21,26,26,24,14,60,86,4.4,1016,27,8,94,10
2020-01-18,27,21,0.0,7.2,6,6,40,12:37 AM,12:36 PM,06:20 AM,05:40 PM,21,26,26,24,11,54,85,0.8,1016,27,9,95,8
2020-01-19,28,22,0.0,4.2,6,6,32,01:34 AM,01:22 PM,06:20 AM,05:40 PM,21,26,26,24,7,64,85,1.7,1016,28,8,261,5
2020-01-20,26,21,0.0,4.2,5,5,25,02:31 AM,02:10 PM,06:20 AM,05:41 PM,21,25,25,23,11,74,90,14.9,1018,26,9,285,7
2020-01-21,22,17,0.0,4.2,5,5,18,03:28 AM,03:01 PM,06:20 AM,05:41 PM,20,21,23,21,18,95,93,45.2,1020,22,6,240,10
2020-01-22,24,19,0.0,4.2,5,5,11,04:24 AM,03:54 PM,06:20 AM,05:42 PM,18,21,22,21,8,76,86,4.5,1019,24,10,264,5
2020-01-23,27,18,0.0,8.7,5,5,3,05:19 AM,04:48 PM,06:20 AM,05:42 PM,19,23,23,22,11,36,83,0.0,1014,27,8,82,7
2020-01-24,27,20,0.0,8.7,5,5,0,06:10 AM,05:42 PM,06:20 AM,05:43 PM,20,25,25,23,9,59,84,1.4,1016,27,10,101,7
2020-01-25,27,19,0.0,7.2,5,5,0,06:58 AM,06:35 PM,06:20 AM,05:44 PM,19,23,23,23,11,42,80,0.4,1017,27,9,69,7
