date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,12,5,0.0,8.7,3,3,37,12:19 PM,No moonset,08:00 AM,05:51 PM,1,7,8,7,11,20,61,0.0,1017,12,10,291,7
2020-01-02,12,4,0.0,8.7,3,3,44,12:47 PM,12:08 AM,08:00 AM,05:52 PM,2,7,8,7,9,8,69,0.0,1017,12,10,127,5
2020-01-03,14,6,0.0,7.0,4,4,51,01:14 PM,01:03 AM,08:01 AM,05:52 PM,-1,10,10,10,6,23,48,0.0,1024,14,10,110,3
2020-01-04,16,7,0.0,7.0,3,3,59,01:42 PM,01:58 AM,08:01 AM,05:53 PM,1,10,11,10,15,33,54,0.0,1026,16,10,288,8
2020-01-05,12,5,0.0,7.0,2,2,66,02:12 PM,02:55 AM,08:01 AM,05:54 PM,0,6,8,6,18,37,60,0.0,1027,12,10,285,11
2020-01-06,13,4,0.0,8.7,3,3,73,02:46 PM,03:53 AM,08:01 AM,05:55 PM,-7,7,9,7,15,0,34,0.0,1029,13,10,31,9
2020-01-07,13,5,0.0,7.0,3,3,80,03:26 PM,04:54 AM,08:01 AM,05:56 PM,-6,9,9,9,10,41,34,0.0,1021,13,10,99,5
2020-01-08,10,5,0.0,8.7,2,2,88,04:11 PM,05:57 AM,08:01 AM,05:57 PM,-1,4,7,4,23,14,61,0.0,1015,10,10,280,15
2020-01-09,9,2,0.0,8.7,2,2,95,05:05 PM,06:59 AM,08:01 AM,05:57 PM,-1,2,5,2,28,12,66,0.1,1015,9,10,281,19
2020-01-10,10,2,0.0,8.7,3,3,100,06:06 PM,07:59 AM,08:01 AM,05:58 PM,-2,6,6,6,8,14,57,0.0,1024,10,10,96,4
2020-01-11,12,5,0.0,8.7,3,3,100,07:13 PM,08:54 AM,08:01 AM,05:59 PM,-2,5,8,5,29,0,51,0.0,1020,12,10,258,18
2020-01-12,11,2,0.0,10.0,3,3,83,08:22 PM,09:43 AM,08:00 AM,06:00 PM,-2,5,7,5,17,1,60,0.0,1019,11,10,245,11
2020-01-13,10,2,0.0,10.0,3,3,76,09:33 PM,10:25 AM,08:00 AM,06:01 PM,-2,3,6,3,19,0,60,0.0,1019,10,10,131,11
2020-01-14,14,3,0.0,10.0,3,3,69,10:42 PM,11:04 AM,08:00 AM,06:02 PM,-2,4,7,4,25,0,55,0.0,1018,14,10,250,16
2020-01-15,11,1,0.0,10.0,3,3,61,11:50 PM,11:39 AM,08:00 AM,06:03 PM,-3,6,6,6,8,8,53,0.0,1017,11,10,60,5
2020-01-16,12,3,0.0,10.0,3,3,54,No moonrise,12:12 PM,08:00 AM,06:04 PM,-0,5,7,5,25,30,63,1.3,1015,12,10,212,19
2020-01-17,9,2,0.0,10.5,3,3,47,12:56 AM,12:45 PM,07:59 AM,06:05 PM,-4,3,5,3,17,28,52,0.4,1024,9,10,29,11
2020-01-18,12,3,0.0,10.5,3,3,40,02:03 AM,01:21 PM,07:59 AM,06:06 PM,-5,6,8,6,16,12,43,0.0,1025,12,10,36,9
2020-01-19,14,5,0.0,10.5,4,4,32,03:08 AM,01:58 PM,07:59 AM,06:07 PM,-5,9,10,9,15,20,36,0.0,1022,14,10,31,9
2020-01-20,14,9,0.0,10.5,4,4,25,04:13 AM,02:39 PM,07:58 AM,06:08 PM,-4,11,12,11,14,49,34,0.0,1018,14,10,260,8
2020-01-21,13,6,0.0,10.5,4,4,18,05:17 AM,03:26 PM,07:58 AM,06:09 PM,2,7,10,7,22,28,62,0.4,1019,13,8,255,16
2020-01-22,14,6,0.0,10.5,4,4,11,06:16 AM,04:16 PM,07:57 AM,06:10 PM,4,9,10,9,9,9,67,0.0,1021,14,10,249,5
2020-01-23,16,6,0.0,10.5,4,4,3,07:11 AM,05:12 PM,07:57 AM,06:11 PM,3,11,11,11,5,7,62,0.0,1021,16,10,87,3
2020-01-24,16,8,0.0,10.0,3,3,0,07:59 AM,06:09 PM,07:56 AM,06:12 PM,3,11,12,11,13,18,58,0.0,1017,16,10,289,8
2020-01-25,16,6,0.0,10.0,3,3,0,08:41 AM,07:08 PM,07:56 AM,06:13 PM,2,11,11,11,7,17,56,0.0,1018,16,10,138,4
2020-01-26,17,9,0.0,10.6,4,4,4,09:18 AM,08:06 PM,07:55 AM,06:14 PM,4,11,12,11,23,6,58,0.0,1019,17,10,267,16
2020-01-27,14,6,0.0,10.6,4,4,11,09:51 AM,09:03 PM,07:55 AM,06:15 PM,3,9,10,9,15,3,65,0.0,1024,14,10,274,9
2020-01-28,15,6,0.0,10.0,3,3,18,10:20 AM,09:58 PM,07:54 AM,06:16 PM,2,8,10,8,16,17,60,0.0,1022,15,10,273,10
2020-01-29,15,5,0.0,10.6,4,4,26,10:48 AM,10:53 PM,07:53 AM,06:17 PM,-3,9,10,9,22,6,46,0.0,1020,15,10,22,14
2020-01-30,15,5,0.0,10.7,4,4,33,11:15 AM,11:48 PM,07:53 AM,06:18 PM,-8,10,10,10,6,6,29,0.0,1021,15,10,148,3
2020-01-31,18,7,0.0,10.7,4,4,37,11:42 AM,No moonset,07:52 AM,06:19 PM,-0,12,12,12,7,8,44,0.0,1025,18,10,43,5
2020-02-01,20,8,0.0,10.7,5,5,49,12:11 PM,12:43 AM,07:51 AM,06:20 PM,1,14,14,14,5,1,42,0.0,1024,20,10,78,3
2020-02-02,20,9,0.0,10.7,5,5,57,12:42 PM,01:40 AM,07:51 AM,06:21 PM,1,13,13,13,22,7,46,0.0,1012,20,10,240,17
2020-02-03,8,1,0.0,10.7,2,2,64,01:18 PM,02:38 AM,07:50 AM,06:22 PM,-13,1,4,1,19,3,30,0.0,1015,8,10,37,14
2020-02-04,8,-1,0.0,10.7,2,2,72,01:59 PM,03:39 AM,07:49 AM,06:23 PM,-20,1,4,1,18,3,18,0.0,1022,8,10,57,12
2020-02-05,11,0,0.0,10.8,3,3,79,02:48 PM,04:40 AM,07:48 AM,06:24 PM,-12,5,6,5,9,14,29,0.0,1021,11,10,170,5
2020-02-06,16,5,0.0,10.8,4,4,87,03:45 PM,05:41 AM,07:47 AM,06:25 PM,-4,10,10,10,8,5,39,0.0,1019,16,10,160,5
2020-02-07,19,7,0.0,10.8,4,4,95,04:50 PM,06:38 AM,07:47 AM,06:26 PM,0,13,13,13,7,0,45,0.0,1018,19,10,138,4
