date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,6,-6,0.0,8.7,2,2,37,12:28 PM,No moonset,08:18 AM,05:48 PM,-11,-3,1,-3,28,9,48,0.0,1007,6,10,277,15
2020-01-02,2,-9,0.0,8.7,2,2,44,12:54 PM,12:11 AM,08:18 AM,05:49 PM,-12,-7,-3,-7,19,12,56,0.0,1009,2,10,298,10
2020-01-03,3,-11,0.0,8.7,2,2,51,01:19 PM,01:08 AM,08:18 AM,05:50 PM,-12,-8,-4,-8,17,5,57,0.0,1023,3,10,273,10
2020-01-04,10,-1,0.0,8.7,3,3,59,01:45 PM,02:05 AM,08:18 AM,05:51 PM,-6,2,4,2,22,6,51,0.0,1024,10,10,264,11
2020-01-05,2,-5,0.0,8.7,2,2,66,02:13 PM,03:04 AM,08:18 AM,05:52 PM,-10,-6,-1,-6,27,3,54,0.0,1026,2,10,196,16
2020-01-06,2,-10,0.0,8.7,2,2,73,02:45 PM,04:05 AM,08:18 AM,05:52 PM,-16,-10,-3,-10,35,2,46,0.0,1029,2,10,293,21
2020-01-07,8,-8,0.0,8.7,2,2,80,03:23 PM,05:08 AM,08:18 AM,05:53 PM,-12,-3,1,-3,22,1,43,0.0,1026,8,10,249,12
2020-01-08,8,-4,0.0,7.0,1,1,88,04:06 PM,06:11 AM,08:18 AM,05:54 PM,-12,-1,2,-1,21,17,40,0.0,1011,8,10,244,12
2020-01-09,1,-9,0.4,8.7,2,2,95,04:59 PM,07:15 AM,08:18 AM,05:55 PM,-13,-7,-3,-7,18,29,55,0.5,1012,1,9,222,10
2020-01-10,-3,-11,3.8,5.2,1,1,100,06:00 PM,08:15 AM,08:17 AM,05:56 PM,-11,-10,-6,-10,15,59,82,4.5,1020,-3,7,105,9
2020-01-11,3,-14,0.0,8.7,2,2,100,07:08 PM,09:09 AM,08:17 AM,05:57 PM,-13,-9,-5,-9,15,15,56,0.0,1018,3,10,253,9
2020-01-12,-1,-12,0.0,8.7,2,2,83,08:19 PM,09:57 AM,08:17 AM,05:58 PM,-15,-9,-5,-9,18,8,55,0.0,1017,-1,10,260,11
2020-01-13,2,-11,0.0,8.7,1,1,76,09:32 PM,10:38 AM,08:17 AM,05:59 PM,-14,-10,-4,-10,27,4,54,0.0,1016,2,10,268,16
