date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,3,-2,0.0,6.9,1,1,37,12:19 PM,11:55 PM,08:18 AM,05:29 PM,-4,-3,-0,-3,13,27,75,0.0,1005,3,10,280,9
2020-01-02,7,-3,0.0,6.9,2,2,44,12:43 PM,No moonset,08:18 AM,05:30 PM,-3,-1,2,-1,17,28,74,0.0,1012,7,10,207,10
2020-01-03,5,-1,0.0,3.4,1,1,51,01:07 PM,12:53 AM,08:18 AM,05:31 PM,2,2,3,2,11,66,89,0.3,1009,5,6,192,6
2020-01-04,7,4,0.0,3.4,2,2,59,01:31 PM,01:53 AM,08:18 AM,05:32 PM,5,5,5,5,8,99,96,5.1,1004,7,5,183,5
2020-01-05,2,-6,0.4,8.7,2,2,66,01:57 PM,02:53 AM,08:18 AM,05:33 PM,-5,-4,-0,-4,22,36,68,0.7,1006,2,9,311,16
2020-01-06,4,-2,0.1,3.4,1,1,73,02:26 PM,03:56 AM,08:18 AM,05:34 PM,-4,-3,0,-3,15,78,72,0.4,1013,4,9,232,10
2020-01-07,3,-3,0.2,5.2,1,1,80,03:01 PM,05:00 AM,08:18 AM,05:35 PM,-4,-2,-0,-2,11,77,78,0.5,1015,3,9,178,6
2020-01-08,3,-7,2.2,5.2,1,1,88,03:43 PM,06:05 AM,08:17 AM,05:36 PM,-5,-4,-1,-4,16,70,77,2.8,1013,3,7,262,11
2020-01-09,-2,-7,0.0,8.7,2,2,95,04:34 PM,07:10 AM,08:17 AM,05:37 PM,-16,-9,-4,-9,15,22,40,0.0,1036,-2,10,308,12
2020-01-10,8,-2,0.0,5.2,2,2,100,05:35 PM,08:10 AM,08:17 AM,05:38 PM,-1,0,4,0,27,82,74,0.2,1033,8,9,215,17
2020-01-11,16,7,0.0,3.5,3,3,100,06:43 PM,09:05 AM,08:17 AM,05:39 PM,10,10,12,10,36,93,85,0.0,1022,16,9,208,22
2020-01-12,18,2,0.0,5.2,3,3,83,07:56 PM,09:52 AM,08:16 AM,05:40 PM,7,12,13,12,33,60,69,3.9,1017,18,10,266,22
2020-01-13,4,-0,0.0,5.2,1,1,76,09:11 PM,10:31 AM,08:16 AM,05:41 PM,-1,1,2,1,7,68,80,0.0,1030,4,10,161,5
2020-01-14,7,1,0.0,7.0,2,2,69,10:24 PM,11:06 AM,08:16 AM,05:42 PM,0,3,4,3,7,53,81,0.0,1025,7,10,118,5
2020-01-15,7,2,0.0,8.7,2,2,61,11:38 PM,11:36 AM,08:15 AM,05:43 PM,1,3,4,3,12,43,78,0.0,1019,7,9,293,9
2020-01-16,6,-3,0.3,3.5,2,2,54,No moonrise,12:05 PM,08:15 AM,05:44 PM,-2,-1,3,-1,26,73,73,4.9,1012,6,9,299,19
2020-01-17,-5,-9,0.0,8.7,2,2,47,12:49 AM,12:34 PM,08:14 AM,05:46 PM,-20,-14,-7,-14,25,2,38,0.0,1032,-5,10,329,20
2020-01-18,-2,-11,5.5,5.2,1,1,40,02:00 AM,01:04 PM,08:14 AM,05:47 PM,-15,-9,-6,-9,10,72,51,9.8,1028,-2,7,175,7
2020-01-19,3,-6,0.1,8.7,2,2,32,03:10 AM,01:37 PM,08:13 AM,05:48 PM,-3,-4,-0,-4,22,56,82,5.5,1006,3,8,286,14
2020-01-20,-3,-9,0.0,8.7,2,2,25,04:19 AM,02:14 PM,08:13 AM,05:49 PM,-12,-13,-7,-13,18,4,67,0.0,1022,-3,10,332,13
2020-01-21,-2,-10,0.0,8.7,2,2,18,05:26 AM,02:57 PM,08:12 AM,05:50 PM,-12,-9,-6,-9,8,10,64,0.0,1029,-2,10,324,6
2020-01-22,3,-8,0.0,8.7,2,2,11,06:28 AM,03:47 PM,08:11 AM,05:52 PM,-7,-5,-3,-5,7,21,74,0.0,1030,3,10,229,4
2020-01-23,4,-4,0.0,5.3,1,1,3,07:23 AM,04:41 PM,08:11 AM,05:53 PM,-4,-2,-1,-2,8,55,75,0.0,1028,4,10,193,5
2020-01-24,7,-2,0.0,8.7,2,2,0,08:11 AM,05:41 PM,08:10 AM,05:54 PM,-3,0,1,0,8,39,77,0.0,1029,7,8,34,4
2020-01-25,7,-1,0.0,5.3,1,1,0,08:52 AM,06:41 PM,08:09 AM,05:55 PM,3,0,4,0,21,79,93,26.9,1018,7,6,94,12
2020-01-26,6,0,0.0,8.7,1,1,4,09:26 AM,07:43 PM,08:08 AM,05:57 PM,1,1,3,1,12,34,87,9.2,1007,6,9,255,8
2020-01-27,5,-1,0.0,5.3,1,1,11,09:56 AM,08:44 PM,08:08 AM,05:58 PM,-2,-1,1,-1,13,59,81,0.0,1004,5,10,273,9
2020-01-28,4,-2,0.0,8.7,2,2,18,10:21 AM,09:44 PM,08:07 AM,05:59 PM,-4,-3,-0,-3,15,25,75,0.0,1008,4,10,317,10
2020-01-29,4,-2,0.0,9.9,2,2,26,10:46 AM,10:42 PM,08:06 AM,06:00 PM,-8,-3,-1,-3,11,1,61,0.0,1017,4,10,338,8
2020-01-30,3,-7,0.0,8.3,1,1,33,11:09 AM,11:41 PM,08:05 AM,06:02 PM,-15,-5,-2,-5,8,39,37,0.0,1026,3,10,182,6
2020-01-31,4,-4,0.0,9.9,2,2,37,11:32 AM,No moonset,08:04 AM,06:03 PM,-5,-3,-0,-3,11,56,73,0.0,1026,4,10,206,7
2020-02-01,3,-1,0.0,5.0,1,1,49,11:57 AM,12:40 AM,08:03 AM,06:04 PM,0,0,1,0,6,95,96,0.5,1013,3,3,180,3
2020-02-02,5,-2,0.0,8.3,1,1,57,12:24 PM,01:41 AM,08:02 AM,06:05 PM,-3,-1,1,-1,9,69,79,0.0,1000,5,9,285,6
2020-02-03,6,-3,0.0,8.3,1,1,64,12:56 PM,02:42 AM,08:01 AM,06:07 PM,-1,0,2,0,10,45,82,0.0,1007,6,7,284,7
2020-02-04,9,1,0.0,6.7,2,2,72,01:33 PM,03:46 AM,08:00 AM,06:08 PM,3,4,5,4,6,68,85,0.0,1009,9,9,195,4
2020-02-05,4,-3,0.7,10.0,2,2,79,02:19 PM,04:50 AM,07:59 AM,06:09 PM,-4,-0,2,-0,12,59,66,2.1,1016,4,8,320,9
2020-02-06,3,-2,1.4,5.3,1,1,87,03:14 PM,05:52 AM,07:58 AM,06:10 PM,1,-1,1,-1,10,100,95,17.9,1006,3,5,30,6
2020-02-07,12,-4,0.3,5.3,2,2,95,04:19 PM,06:50 AM,07:57 AM,06:12 PM,1,-0,3,-0,22,96,88,4.7,988,12,4,204,15
2020-02-08,2,-5,0.0,10.0,1,1,100,05:31 PM,07:41 AM,07:55 AM,06:13 PM,-11,-7,-3,-7,18,41,54,0.0,1019,2,10,284,14
2020-02-09,3,-6,0.0,5.3,1,1,100,06:47 PM,08:24 AM,07:54 AM,06:14 PM,-8,-3,-1,-3,8,79,63,0.5,1032,3,10,155,5
