date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,11,0.0,4.3,4,4,37,11:00 AM,11:13 PM,06:04 AM,05:48 PM,14,17,18,17,7,67,90,4.4,1013,23,10,288,4
2020-01-02,23,11,0.0,5.8,4,4,44,11:38 AM,11:56 PM,06:04 AM,05:48 PM,13,18,19,18,8,65,84,1.9,1013,23,10,284,5
2020-01-03,26,10,0.0,7.2,5,5,51,12:16 PM,No moonset,06:05 AM,05:49 PM,13,19,19,18,8,46,74,0.7,1015,26,10,277,5
2020-01-04,22,9,0.0,8.7,4,4,59,12:56 PM,12:40 AM,06:05 AM,05:49 PM,12,16,18,16,6,48,83,1.5,1016,22,10,283,4
2020-01-05,16,9,0.0,4.3,3,3,66,01:37 PM,01:25 AM,06:06 AM,05:50 PM,11,13,13,13,7,73,88,8.0,1016,16,10,291,4
2020-01-06,23,11,0.0,4.3,4,4,73,02:21 PM,02:12 AM,06:06 AM,05:50 PM,12,16,17,16,7,70,87,2.3,1014,23,10,285,4
2020-01-07,23,9,0.0,8.7,4,4,80,03:09 PM,03:02 AM,06:06 AM,05:51 PM,11,16,16,16,9,24,76,0.1,1014,23,10,282,6
2020-01-08,26,15,0.0,7.2,5,5,88,04:01 PM,03:56 AM,06:07 AM,05:51 PM,13,22,22,21,9,28,66,0.6,1015,26,10,278,6
2020-01-09,26,10,0.0,8.7,5,5,95,04:58 PM,04:53 AM,06:07 AM,05:52 PM,8,18,20,18,14,8,61,0.0,1014,26,10,277,8
2020-01-10,26,8,0.0,8.7,5,5,100,05:58 PM,05:52 AM,06:07 AM,05:52 PM,6,17,18,17,17,3,52,0.0,1012,26,10,266,9
2020-01-11,27,15,0.0,8.7,6,6,100,06:58 PM,06:51 AM,06:08 AM,05:53 PM,11,21,21,21,14,4,55,0.0,1013,27,10,268,8
2020-01-12,27,17,0.0,8.7,5,5,83,07:59 PM,07:49 AM,06:08 AM,05:53 PM,14,22,22,21,10,24,63,0.3,1013,27,10,284,7
2020-01-13,27,18,0.0,7.2,5,5,76,08:57 PM,08:43 AM,06:08 AM,05:54 PM,13,23,23,22,12,36,66,1.5,1012,27,10,286,8
2020-01-14,27,10,0.0,7.2,5,5,69,09:53 PM,09:35 AM,06:09 AM,05:54 PM,10,18,19,18,13,67,68,6.1,1012,27,10,284,7
2020-01-15,27,10,0.0,5.8,5,5,61,10:46 PM,10:23 AM,06:09 AM,05:55 PM,11,18,19,18,12,53,73,7.9,1012,27,9,293,6
2020-01-16,28,19,0.0,8.7,6,6,54,11:40 PM,11:11 AM,06:09 AM,05:55 PM,17,23,23,23,10,36,70,2.8,1013,28,10,280,8
2020-01-17,29,19,0.0,8.7,6,6,47,No moonrise,11:58 AM,06:09 AM,05:55 PM,15,25,25,24,11,26,67,0.7,1012,29,10,283,7
2020-01-18,29,12,0.0,7.2,5,5,40,12:32 AM,12:45 PM,06:10 AM,05:56 PM,13,20,20,19,13,44,67,2.9,1012,29,10,285,7
2020-01-19,20,12,0.0,7.2,4,4,32,01:25 AM,01:34 PM,06:10 AM,05:56 PM,10,15,15,15,15,55,73,9.7,1012,20,9,292,7
2020-01-20,17,12,0.0,7.2,4,4,25,02:19 AM,02:24 PM,06:10 AM,05:57 PM,11,14,14,14,8,70,82,15.4,1013,17,9,286,4
2020-01-21,24,11,0.0,4.3,4,4,18,03:15 AM,03:17 PM,06:10 AM,05:57 PM,13,16,17,16,6,75,89,19.0,1013,24,8,284,4
2020-01-22,22,12,0.0,8.7,4,4,11,04:10 AM,04:11 PM,06:10 AM,05:57 PM,13,16,17,16,5,62,94,38.6,1014,22,7,287,3
2020-01-23,20,10,0.0,5.8,4,4,3,05:04 AM,05:05 PM,06:10 AM,05:58 PM,12,14,15,14,7,56,86,2.6,1013,20,10,286,4
2020-01-24,20,11,0.0,4.3,4,4,0,05:57 AM,05:58 PM,06:11 AM,05:58 PM,13,15,16,15,6,67,90,13.1,1014,20,10,294,3
2020-01-25,21,11,0.0,4.3,4,4,0,06:46 AM,06:48 PM,06:11 AM,05:59 PM,13,14,15,14,5,66,92,10.5,1014,21,9,282,3
