date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,12,0.0,8.7,5,5,37,12:19 PM,No moonset,07:57 AM,05:54 PM,5,17,17,17,9,22,46,0.0,1016,20,10,158,7
2020-01-02,22,15,0.0,8.7,5,5,44,12:47 PM,12:09 AM,07:58 AM,05:55 PM,11,17,18,17,6,11,69,0.0,1015,22,10,244,5
2020-01-03,23,16,0.0,8.7,5,5,51,01:15 PM,01:03 AM,07:58 AM,05:56 PM,6,19,19,19,8,26,45,0.0,1023,23,10,189,5
2020-01-04,20,16,0.0,8.7,5,5,59,01:44 PM,01:58 AM,07:58 AM,05:57 PM,11,18,18,18,6,27,64,0.0,1026,20,10,234,5
2020-01-05,20,15,0.0,7.1,4,4,66,02:14 PM,02:54 AM,07:58 AM,05:58 PM,7,17,17,17,7,51,53,0.0,1025,20,10,274,5
2020-01-06,26,16,0.0,8.7,6,6,73,02:49 PM,03:52 AM,07:58 AM,05:58 PM,-3,20,20,20,18,3,21,0.0,1026,26,10,127,11
2020-01-07,22,16,0.0,5.4,4,4,80,03:29 PM,04:52 AM,07:58 AM,05:59 PM,-1,18,19,18,13,32,28,0.0,1020,22,10,204,8
2020-01-08,18,15,0.0,10.4,5,5,88,04:15 PM,05:54 AM,07:58 AM,06:00 PM,11,17,17,17,10,9,68,0.0,1015,18,10,170,8
2020-01-09,17,9,0.0,10.0,5,5,95,05:09 PM,06:56 AM,07:58 AM,06:01 PM,9,14,14,14,14,25,64,0.1,1015,17,10,248,11
2020-01-10,20,16,0.0,10.4,5,5,100,06:09 PM,07:56 AM,07:58 AM,06:02 PM,10,18,18,18,5,2,60,0.0,1023,20,10,193,4
2020-01-11,20,13,0.0,10.5,5,5,100,07:16 PM,08:51 AM,07:58 AM,06:03 PM,11,16,17,16,7,4,70,0.0,1020,20,10,173,6
