date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,0,-7,2.3,3.4,1,1,37,01:02 PM,No moonset,09:01 AM,06:02 PM,-4,-8,-3,-8,23,90,94,2.7,1013,0,6,216,14
2020-01-02,-6,-12,0.1,8.7,1,1,44,01:25 PM,12:38 AM,09:01 AM,06:03 PM,-8,-11,-7,-11,15,59,93,0.1,1018,-6,8,239,8
2020-01-03,-3,-11,1.3,3.4,1,1,51,01:47 PM,01:39 AM,09:01 AM,06:04 PM,-7,-10,-7,-10,11,86,95,1.5,1028,-3,4,246,6
2020-01-04,0,-10,0.0,6.9,1,1,59,02:10 PM,02:38 AM,09:01 AM,06:05 PM,-7,-9,-6,-9,22,31,88,0.0,1029,0,10,253,13
2020-01-05,-6,-10,0.9,3.4,1,1,66,02:35 PM,03:41 AM,09:01 AM,06:06 PM,-9,-11,-8,-11,17,90,89,1.0,1034,-6,7,204,10
2020-01-06,-2,-8,0.8,3.4,1,1,73,03:05 PM,04:44 AM,09:01 AM,06:07 PM,-6,-11,-5,-11,32,88,89,0.9,1035,-2,7,229,21
2020-01-07,-2,-10,0.7,6.9,1,1,80,03:40 PM,05:50 AM,09:01 AM,06:08 PM,-4,-7,-4,-7,18,67,92,0.8,1028,-2,8,311,11
2020-01-08,-1,-7,0.0,3.4,1,1,88,04:22 PM,06:56 AM,09:01 AM,06:09 PM,-6,-8,-4,-8,22,78,88,0.1,1013,-1,9,212,15
2020-01-09,-3,-7,1.4,6.3,1,1,95,05:14 PM,08:00 AM,09:00 AM,06:10 PM,-5,-11,-4,-11,34,86,93,1.7,1015,-3,7,230,23
2020-01-10,-9,-17,0.7,4.6,1,1,100,06:15 PM,09:00 AM,09:00 AM,06:11 PM,-13,-14,-12,-14,8,82,92,0.8,1032,-9,7,149,4
2020-01-11,-8,-13,2.6,4.6,1,1,100,07:25 PM,09:54 AM,09:00 AM,06:12 PM,-10,-12,-10,-12,6,87,95,3.0,1021,-8,4,279,4
2020-01-12,-4,-8,1.0,4.8,1,1,83,08:38 PM,10:38 AM,08:59 AM,06:13 PM,-7,-13,-6,-13,35,91,92,2.9,1019,-4,4,211,24
2020-01-13,-5,-9,0.8,8.2,1,1,76,09:55 PM,11:17 AM,08:59 AM,06:15 PM,-8,-14,-6,-14,44,70,88,2.6,1016,-5,7,219,28
2020-01-14,-3,-10,3.0,8.2,1,1,69,11:10 PM,11:49 AM,08:59 AM,06:16 PM,-7,-12,-5,-12,36,72,89,3.7,1014,-3,6,222,23
2020-01-15,-10,-14,0.3,8.2,1,1,61,No moonrise,12:18 PM,08:58 AM,06:17 PM,-12,-17,-11,-17,27,56,92,0.4,1030,-10,9,236,15
2020-01-16,-0,-14,0.4,4.8,1,1,54,12:23 AM,12:46 PM,08:58 AM,06:18 PM,-9,-10,-7,-10,13,73,81,0.5,1020,-0,9,26,6
2020-01-17,-2,-9,0.2,8.2,1,1,47,01:37 AM,01:14 PM,08:57 AM,06:19 PM,-8,-12,-5,-12,39,66,85,0.3,1019,-2,8,209,24
2020-01-18,-7,-11,0.0,6.5,1,1,40,02:48 AM,01:43 PM,08:57 AM,06:21 PM,-10,-13,-9,-13,14,78,90,0.0,1037,-7,10,258,7
2020-01-19,-6,-14,0.0,9.7,2,2,32,03:59 AM,02:15 PM,08:56 AM,06:22 PM,-12,-14,-10,-14,13,20,88,0.0,1039,-6,10,19,7
2020-01-20,-1,-9,0.0,8.2,1,1,25,05:09 AM,02:53 PM,08:55 AM,06:23 PM,-8,-9,-6,-9,14,49,81,0.0,1029,-1,10,104,7
2020-01-21,-1,-6,0.3,6.5,1,1,18,06:16 AM,03:36 PM,08:55 AM,06:24 PM,-5,-5,-4,-5,9,80,85,0.3,1019,-1,9,224,5
2020-01-22,0,-8,0.9,8.2,1,1,11,07:18 AM,04:25 PM,08:54 AM,06:26 PM,-3,-8,-2,-8,29,81,94,1.8,1022,0,7,219,19
2020-01-23,-3,-7,0.1,4.9,1,1,3,08:12 AM,05:21 PM,08:53 AM,06:27 PM,-5,-7,-5,-7,10,86,94,0.1,1028,-3,7,242,6
2020-01-24,0,-7,1.5,4.9,1,1,0,08:59 AM,06:20 PM,08:52 AM,06:28 PM,-2,-4,-2,-4,13,98,98,1.8,1021,0,5,182,7
2020-01-25,0,-5,0.3,4.9,1,1,0,09:39 AM,07:23 PM,08:51 AM,06:30 PM,-1,-5,-1,-5,25,92,96,0.4,1023,0,7,210,15
2020-01-26,0,-8,1.7,4.9,1,1,4,10:11 AM,08:25 PM,08:50 AM,06:31 PM,-1,-4,-2,-4,11,99,98,2.0,1021,0,5,137,6
2020-01-27,-1,-6,0.4,8.3,1,1,11,10:39 AM,09:27 PM,08:50 AM,06:32 PM,-4,-9,-3,-9,34,69,92,0.6,1023,-1,7,224,20
2020-01-28,-2,-8,4.4,4.9,1,1,18,11:04 AM,10:27 PM,08:49 AM,06:34 PM,-5,-7,-5,-7,7,85,96,5.2,1026,-2,4,188,4
2020-01-29,-1,-6,1.3,4.9,1,1,26,11:28 AM,11:27 PM,08:48 AM,06:35 PM,-3,-6,-2,-6,15,97,96,1.5,1025,-1,4,217,10
2020-01-30,-3,-9,1.7,8.3,1,1,33,11:50 AM,No moonset,08:47 AM,06:36 PM,-5,-7,-5,-7,11,75,94,2.0,1029,-3,6,202,7
2020-01-31,-1,-9,0.8,5.0,1,1,37,12:12 PM,12:26 AM,08:46 AM,06:38 PM,-3,-5,-4,-5,4,82,95,0.9,1034,-1,6,172,3
2020-02-01,0,-5,0.0,9.9,1,1,49,12:36 PM,01:27 AM,08:44 AM,06:39 PM,-2,-3,-1,-3,10,50,92,0.0,1030,0,9,195,5
2020-02-02,1,-6,2.5,5.0,1,1,57,01:03 PM,02:28 AM,08:43 AM,06:40 PM,-4,-6,-3,-6,17,72,90,2.9,1011,1,8,208,11
2020-02-03,-6,-10,0.7,5.0,1,1,64,01:34 PM,03:32 AM,08:42 AM,06:42 PM,-10,-15,-7,-15,43,80,83,11.1,1013,-6,2,96,28
2020-02-04,-15,-22,0.0,10.0,2,2,72,02:11 PM,04:36 AM,08:41 AM,06:43 PM,-21,-22,-18,-22,9,17,80,0.0,1032,-15,10,169,5
2020-02-05,-10,-16,1.1,5.0,1,1,79,02:58 PM,05:41 AM,08:40 AM,06:45 PM,-14,-15,-13,-15,6,98,95,1.3,1027,-10,4,175,4
2020-02-06,-4,-10,0.3,5.0,1,1,87,03:54 PM,06:42 AM,08:39 AM,06:46 PM,-8,-9,-7,-9,7,95,95,0.4,1014,-4,5,153,4
2020-02-07,1,-5,0.0,5.1,1,1,95,05:00 PM,07:39 AM,08:37 AM,06:47 PM,-2,-5,-2,-5,14,98,97,0.0,1012,1,5,234,8
2020-02-08,-1,-6,0.1,8.3,1,1,100,06:13 PM,08:28 AM,08:36 AM,06:49 PM,-3,-7,-1,-7,38,65,88,0.1,1013,-1,10,221,23
2020-02-09,-7,-15,0.0,10.2,2,2,100,07:31 PM,09:11 AM,08:35 AM,06:50 PM,-13,-15,-11,-15,15,12,84,0.0,1028,-7,10,70,7
2020-02-10,-7,-14,0.3,8.3,1,1,83,08:49 PM,09:47 AM,08:34 AM,06:51 PM,-12,-13,-11,-13,7,40,91,0.3,1030,-7,9,8,4
2020-02-11,-8,-17,0.0,10.2,2,2,75,10:07 PM,10:18 AM,08:32 AM,06:53 PM,-15,-15,-14,-15,6,14,86,0.0,1031,-8,10,169,3
2020-02-12,-7,-14,0.0,10.0,1,1,68,11:23 PM,10:47 AM,08:31 AM,06:54 PM,-13,-14,-12,-14,8,53,93,0.0,1025,-7,7,127,4
2020-02-13,-5,-13,0.7,6.8,1,1,60,No moonrise,11:16 AM,08:29 AM,06:56 PM,-11,-13,-10,-13,9,69,94,0.9,1026,-5,7,350,5
