date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,6,-3,0.0,8.7,2,2,37,12:34 PM,No moonset,08:29 AM,05:45 PM,-3,-3,2,-3,35,14,73,0.0,1006,6,10,204,21
2020-01-02,8,3,0.0,5.2,2,2,44,12:58 PM,12:12 AM,08:30 AM,05:46 PM,2,2,5,2,29,50,82,0.0,1002,8,10,231,18
2020-01-03,4,0,0.0,6.9,2,2,51,01:22 PM,01:10 AM,08:30 AM,05:46 PM,-1,-1,2,-1,11,63,82,1.7,1011,4,9,107,8
2020-01-04,-1,-3,3.7,3.4,1,1,59,01:46 PM,02:09 AM,08:30 AM,05:47 PM,-3,-5,-1,-5,16,71,90,3.8,1018,-1,6,307,12
2020-01-05,6,-2,0.0,8.7,2,2,66,02:13 PM,03:09 AM,08:30 AM,05:48 PM,-3,-4,1,-4,39,20,74,0.0,1017,6,10,274,25
2020-01-06,4,-3,0.0,3.4,1,1,73,02:43 PM,04:11 AM,08:30 AM,05:49 PM,-6,-4,0,-4,20,57,65,0.0,1022,4,10,242,12
2020-01-07,3,-1,0.0,7.0,1,1,80,03:19 PM,05:16 AM,08:29 AM,05:50 PM,-5,-4,0,-4,23,44,69,0.0,1018,3,10,288,15
2020-01-08,-2,-8,0.0,8.7,2,2,88,04:01 PM,06:20 AM,08:29 AM,05:51 PM,-15,-10,-4,-10,26,18,44,0.0,1027,-2,10,73,18
2020-01-09,11,-2,0.0,3.5,2,2,95,04:53 PM,07:25 AM,08:29 AM,05:52 PM,2,1,5,1,49,74,75,0.4,1014,11,10,187,29
2020-01-10,4,0,0.0,3.5,1,1,100,05:54 PM,08:25 AM,08:29 AM,05:53 PM,-0,-1,3,-1,25,83,82,22.3,1016,4,9,33,17
2020-01-11,-3,-9,0.7,3.5,1,1,100,07:02 PM,09:19 AM,08:29 AM,05:54 PM,-5,-10,-3,-10,39,99,91,2.4,1015,-3,5,136,28
2020-01-12,-2,-7,0.3,7.0,1,1,83,08:15 PM,10:06 AM,08:28 AM,05:55 PM,-6,-8,-4,-8,15,52,85,0.2,1024,-2,9,113,11
2020-01-13,1,-4,0.3,8.7,2,2,76,09:29 PM,10:45 AM,08:28 AM,05:56 PM,-3,-5,-2,-5,20,62,90,0.4,1024,1,9,171,13
2020-01-14,4,-1,0.0,7.0,1,1,69,10:43 PM,11:20 AM,08:28 AM,05:58 PM,-0,-2,1,-2,21,47,90,0.2,1020,4,10,270,14
2020-01-15,2,-7,0.0,3.5,1,1,61,11:55 PM,11:51 AM,08:27 AM,05:59 PM,-3,-6,-1,-6,26,72,90,1.0,1021,2,9,228,17
2020-01-16,-7,-13,0.0,9.7,2,2,54,No moonrise,12:20 PM,08:27 AM,06:00 PM,-17,-18,-10,-18,24,16,57,0.0,1041,-7,10,335,19
2020-01-17,-3,-12,3.3,4.9,1,1,47,01:06 AM,12:50 PM,08:26 AM,06:01 PM,-10,-12,-6,-12,31,63,72,6.9,1035,-3,8,130,21
2020-01-18,2,-16,0.0,4.9,1,1,40,02:16 AM,01:20 PM,08:26 AM,06:02 PM,-6,-13,-5,-13,43,100,92,9.5,1014,2,4,289,29
