date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,6,1,0.0,8.7,2,2,37,01:14 PM,No moonset,09:06 AM,06:30 PM,-2,-1,3,-1,25,35,72,0.0,1012,6,10,217,18
2020-01-02,9,4,0.0,3.5,2,2,44,01:39 PM,12:53 AM,09:06 AM,06:31 PM,3,3,7,3,27,65,78,0.3,1007,9,9,212,17
2020-01-03,11,6,0.0,3.5,2,2,51,02:03 PM,01:51 AM,09:06 AM,06:32 PM,7,8,9,8,8,95,87,10.5,1008,11,8,207,6
2020-01-04,2,-0,0.9,3.5,1,1,59,02:28 PM,02:48 AM,09:06 AM,06:33 PM,-1,-2,2,-2,21,96,80,2.3,1016,2,8,302,16
2020-01-05,6,-2,0.0,8.7,2,2,66,02:56 PM,03:48 AM,09:06 AM,06:34 PM,-3,-2,2,-2,25,29,71,0.0,1020,6,10,219,18
2020-01-06,6,-1,0.0,8.7,2,2,73,03:27 PM,04:49 AM,09:06 AM,06:35 PM,-5,-0,2,-0,13,24,62,0.0,1022,6,10,271,9
2020-01-07,5,1,0.0,8.7,2,2,80,04:03 PM,05:52 AM,09:06 AM,06:36 PM,-5,0,3,0,17,39,58,0.0,1018,5,10,267,12
2020-01-08,2,-2,0.0,8.7,2,2,88,04:47 PM,06:56 AM,09:06 AM,06:37 PM,-11,-4,-0,-4,18,12,45,0.0,1028,2,10,225,13
2020-01-09,10,-1,0.0,8.7,3,3,95,05:39 PM,08:00 AM,09:06 AM,06:38 PM,-3,1,5,1,36,53,58,1.7,1025,10,10,183,22
2020-01-10,13,5,0.0,3.5,3,3,100,06:39 PM,09:00 AM,09:06 AM,06:39 PM,10,8,10,8,32,100,93,33.8,1019,13,7,194,20
2020-01-11,18,6,0.0,3.5,3,3,100,07:47 PM,09:55 AM,09:05 AM,06:40 PM,10,12,13,12,29,99,87,27.8,1006,18,7,243,19
2020-01-12,4,-3,0.0,3.5,1,1,83,08:59 PM,10:42 AM,09:05 AM,06:41 PM,-1,-1,2,-1,12,73,76,0.0,1024,4,10,204,9
2020-01-13,7,2,0.0,8.7,2,2,76,10:12 PM,11:23 AM,09:05 AM,06:42 PM,1,2,4,2,13,51,81,0.0,1026,7,10,218,9
2020-01-14,10,3,0.0,8.7,3,3,69,11:25 PM,11:59 AM,09:05 AM,06:43 PM,3,4,6,4,14,20,86,0.0,1022,10,10,252,10
2020-01-15,10,4,0.0,3.5,2,2,61,No moonrise,12:31 PM,09:04 AM,06:44 PM,5,4,7,4,18,59,91,0.0,1019,10,9,206,11
2020-01-16,1,-3,0.0,8.7,2,2,54,12:35 AM,01:01 PM,09:04 AM,06:45 PM,-8,-5,-0,-5,23,49,58,0.0,1035,1,10,314,18
2020-01-17,0,-5,0.4,3.5,1,1,47,01:46 AM,01:32 PM,09:03 AM,06:46 PM,-9,-7,-2,-7,21,48,58,1.8,1038,0,8,118,15
2020-01-18,9,-4,0.0,3.5,2,2,40,02:55 AM,02:03 PM,09:03 AM,06:47 PM,-0,-1,3,-1,39,99,85,28.3,1015,9,7,237,27
2020-01-19,-7,-11,0.0,8.7,2,2,32,04:03 AM,02:38 PM,09:02 AM,06:48 PM,-16,-17,-9,-17,24,51,56,0.1,1026,-7,9,295,21
2020-01-20,-1,-9,0.0,8.7,2,2,25,05:11 AM,03:17 PM,09:02 AM,06:50 PM,-11,-9,-5,-9,11,26,63,0.0,1035,-1,10,118,8
2020-01-21,1,-5,0.0,7.0,1,1,18,06:16 AM,04:01 PM,09:01 AM,06:51 PM,-8,-4,-2,-4,7,28,67,0.0,1036,1,10,252,5
2020-01-22,1,-4,0.0,7.0,1,1,11,07:18 AM,04:51 PM,09:01 AM,06:52 PM,-9,-6,-2,-6,18,60,57,0.0,1028,1,10,189,12
2020-01-23,5,-5,0.0,4.8,1,1,3,08:12 AM,05:46 PM,09:00 AM,06:53 PM,-4,-2,1,-2,20,92,67,2.2,1021,5,10,172,13
2020-01-24,5,3,0.1,5.0,1,1,0,09:01 AM,06:44 PM,08:59 AM,06:54 PM,3,1,4,1,18,100,97,5.5,1012,5,6,151,11
2020-01-25,2,-1,1.1,5.0,1,1,0,09:42 AM,07:45 PM,08:59 AM,06:55 PM,-0,-4,1,-4,24,100,92,1.6,1014,2,5,246,18
2020-01-26,2,-1,0.0,5.0,1,1,4,10:17 AM,08:45 PM,08:58 AM,06:57 PM,-2,-4,0,-4,18,79,87,0.2,1016,2,10,250,13
2020-01-27,2,-1,0.0,5.0,1,1,11,10:48 AM,09:44 PM,08:57 AM,06:58 PM,-3,-3,0,-3,11,86,81,0.0,1015,2,10,314,9
2020-01-28,2,-1,0.0,5.0,1,1,18,11:15 AM,10:42 PM,08:56 AM,06:59 PM,-3,-1,0,-1,7,79,81,0.0,1020,2,10,271,5
2020-01-29,2,-1,0.0,5.2,1,1,26,11:41 AM,11:40 PM,08:56 AM,07:00 PM,-4,-2,0,-2,9,84,73,0.0,1021,2,10,64,7
2020-01-30,4,-1,0.0,6.8,1,1,33,12:05 PM,No moonset,08:55 AM,07:01 PM,-4,0,1,0,6,79,71,0.0,1023,4,10,156,4
2020-01-31,4,0,0.1,5.2,1,1,37,12:29 PM,12:37 AM,08:54 AM,07:03 PM,-1,1,2,1,6,98,79,0.3,1022,4,9,146,4
2020-02-01,4,1,0.0,5.3,1,1,49,12:55 PM,01:35 AM,08:53 AM,07:04 PM,-0,-1,2,-1,17,99,85,0.1,1016,4,10,241,12
2020-02-02,14,1,0.0,10.5,3,3,57,01:24 PM,02:34 AM,08:52 AM,07:05 PM,2,3,7,3,32,21,73,0.0,1007,14,10,261,21
2020-02-03,14,6,0.0,8.4,3,3,64,01:57 PM,03:35 AM,08:51 AM,07:06 PM,7,9,10,9,23,46,81,0.0,1008,14,9,196,15
2020-02-04,12,2,0.0,5.3,2,2,72,02:36 PM,04:37 AM,08:50 AM,07:07 PM,5,5,8,5,25,100,82,9.4,1011,12,9,144,18
2020-02-05,4,-0,2.0,6.9,1,1,79,03:23 PM,05:41 AM,08:49 AM,07:09 PM,-3,-3,1,-3,24,84,71,2.6,1015,4,7,71,19
2020-02-06,-1,-3,0.1,5.3,1,1,87,04:18 PM,06:42 AM,08:48 AM,07:10 PM,-3,-6,-2,-6,15,100,90,0.4,1002,-1,8,236,12
2020-02-07,1,-5,0.2,6.9,1,1,95,05:24 PM,07:40 AM,08:47 AM,07:11 PM,-5,-6,-2,-6,16,76,81,0.3,1007,1,10,294,12
2020-02-08,1,-2,1.5,5.3,1,1,100,06:34 PM,08:31 AM,08:46 AM,07:12 PM,-3,-4,-1,-4,14,88,86,1.8,1021,1,7,249,11
2020-02-09,1,-7,0.0,5.3,1,1,100,07:50 PM,09:16 AM,08:45 AM,07:13 PM,-2,-5,-1,-5,23,78,87,14.3,1023,1,8,163,15
2020-02-10,4,1,0.0,8.5,1,1,83,09:05 PM,09:55 AM,08:44 AM,07:15 PM,1,0,3,0,14,75,86,22.5,1018,4,7,127,10
2020-02-11,5,-0,0.1,8.5,1,1,75,10:19 PM,10:29 AM,08:42 AM,07:16 PM,-3,-1,2,-1,14,66,69,0.2,1021,5,9,303,11
2020-02-12,2,-3,1.0,6.9,1,1,68,11:33 PM,11:02 AM,08:41 AM,07:17 PM,-2,-2,1,-2,11,81,81,10.7,1018,2,7,132,8
2020-02-13,0,-11,0.9,5.4,1,1,60,No moonrise,11:33 AM,08:40 AM,07:18 PM,-4,-8,-3,-8,20,100,90,1.9,1018,0,5,295,16
2020-02-14,-5,-14,0.0,10.8,2,2,53,12:45 AM,12:05 PM,08:39 AM,07:19 PM,-14,-14,-10,-14,11,23,74,0.0,1035,-5,10,300,9
2020-02-15,3,-9,0.0,10.8,2,2,45,01:55 AM,12:39 PM,08:37 AM,07:21 PM,-9,-8,-3,-8,23,26,62,0.1,1027,3,10,197,14
2020-02-16,5,-1,0.0,10.9,2,2,38,03:04 AM,01:17 PM,08:36 AM,07:22 PM,-1,0,2,0,10,40,82,0.1,1021,5,10,335,6
2020-02-17,8,0,0.0,5.4,1,1,30,04:10 AM,01:59 PM,08:35 AM,07:23 PM,1,1,4,1,20,81,79,1.6,1017,8,10,136,13
2020-02-18,6,1,0.0,5.5,1,1,22,05:13 AM,02:47 PM,08:34 AM,07:24 PM,2,2,5,2,21,76,82,1.4,1019,6,9,322,15
2020-02-19,4,-2,0.0,10.9,2,2,15,06:09 AM,03:40 PM,08:32 AM,07:25 PM,-8,-2,1,-2,13,22,57,0.0,1033,4,10,125,10
2020-02-20,-1,-4,0.0,10.1,1,1,7,06:58 AM,04:36 PM,08:31 AM,07:26 PM,-12,-7,-2,-7,18,32,48,0.0,1036,-1,10,129,14
2020-02-21,2,-4,0.0,11.0,2,2,0,07:41 AM,05:36 PM,08:30 AM,07:28 PM,-16,-5,-2,-5,14,12,34,0.0,1036,2,10,247,10
2020-02-22,7,-3,0.0,11.0,2,2,0,08:17 AM,06:35 PM,08:28 AM,07:29 PM,-11,-3,1,-3,22,3,43,0.0,1028,7,10,220,15
2020-02-23,10,0,0.0,11.0,3,3,0,08:49 AM,07:35 PM,08:27 AM,07:30 PM,-1,1,4,1,23,23,67,0.0,1019,10,10,212,15
2020-02-24,5,4,0.0,5.5,1,1,0,09:17 AM,08:34 PM,08:25 AM,07:31 PM,4,2,5,2,16,100,95,12.1,1012,5,6,128,10
2020-02-25,6,5,0.0,5.5,2,2,8,09:43 AM,09:32 PM,08:24 AM,07:32 PM,4,3,5,3,18,100,93,7.1,1007,6,7,52,13
