date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,37,16,0.0,13.9,8,8,37,11:17 AM,No moonset,05:49 AM,07:43 PM,2,29,29,29,28,1,23,0.0,1010,37,10,297,18
2020-01-02,37,16,0.0,13.9,8,8,44,12:08 PM,12:08 AM,05:49 AM,07:43 PM,0,28,28,27,26,1,26,0.0,1011,37,10,269,18
2020-01-03,38,14,0.0,13.9,8,8,51,01:00 PM,12:38 AM,05:50 AM,07:44 PM,6,28,28,28,27,0,38,0.0,1011,38,10,288,17
2020-01-04,40,17,0.0,13.9,8,8,59,01:52 PM,01:09 AM,05:51 AM,07:44 PM,4,31,31,30,24,0,27,0.0,1009,40,10,295,17
2020-01-05,35,14,0.0,13.9,7,7,66,02:46 PM,01:41 AM,05:52 AM,07:44 PM,2,26,26,26,29,0,29,0.0,1011,35,10,243,22
2020-01-06,36,14,0.0,13.9,7,7,73,03:42 PM,02:14 AM,05:52 AM,07:44 PM,5,26,26,26,27,12,35,0.0,1009,36,10,295,20
2020-01-07,32,21,0.0,9.9,7,7,80,04:39 PM,02:52 AM,05:53 AM,07:44 PM,11,28,28,28,16,69,39,5.1,1006,32,10,226,13
2020-01-08,32,21,0.0,11.0,6,6,88,05:40 PM,03:34 AM,05:54 AM,07:44 PM,11,28,28,27,24,50,44,2.9,1009,32,10,279,21
2020-01-09,31,15,0.0,13.9,7,7,95,06:40 PM,04:23 AM,05:55 AM,07:44 PM,7,23,23,23,25,4,43,0.0,1014,31,10,225,21
2020-01-10,34,16,0.0,13.9,7,7,100,07:40 PM,05:18 AM,05:55 AM,07:44 PM,4,25,25,26,21,0,33,0.0,1013,34,10,310,15
2020-01-11,38,21,0.0,13.9,8,8,100,08:35 PM,06:19 AM,05:56 AM,07:44 PM,4,29,29,30,24,0,22,0.0,1011,38,10,294,17
2020-01-12,38,21,0.0,13.9,8,8,83,09:27 PM,07:25 AM,05:57 AM,07:44 PM,2,29,29,30,23,0,18,0.0,1012,38,10,301,17
2020-01-13,39,23,0.0,13.9,8,8,76,10:12 PM,08:32 AM,05:58 AM,07:44 PM,7,32,32,32,26,0,26,0.0,1010,39,10,270,20
2020-01-14,40,22,0.0,13.9,8,8,69,10:54 PM,09:39 AM,05:58 AM,07:44 PM,6,32,32,31,26,1,26,0.0,1009,40,10,278,18
2020-01-15,41,24,0.0,13.9,9,9,61,11:33 PM,10:44 AM,05:59 AM,07:44 PM,10,34,34,33,24,0,28,0.0,1009,41,10,199,17
2020-01-16,41,27,0.0,13.4,9,9,54,No moonrise,11:47 AM,06:00 AM,07:44 PM,6,35,35,35,23,0,20,0.0,1009,41,10,302,16
2020-01-17,40,26,0.0,11.6,9,9,47,12:09 AM,12:50 PM,06:01 AM,07:44 PM,5,33,33,33,27,4,24,0.0,1008,40,10,233,21
2020-01-18,34,20,0.0,11.6,7,7,40,12:47 AM,01:52 PM,06:02 AM,07:44 PM,9,27,27,27,29,6,43,0.0,1008,34,10,268,24
2020-01-19,29,13,0.0,11.6,6,6,32,01:26 AM,02:54 PM,06:02 AM,07:43 PM,8,22,22,21,25,13,51,0.0,1009,29,10,278,20
2020-01-20,33,15,0.0,11.6,7,7,25,02:07 AM,03:56 PM,06:03 AM,07:43 PM,7,24,24,24,21,1,41,0.0,1010,33,10,296,16
2020-01-21,33,16,0.0,11.6,7,7,18,02:51 AM,04:56 PM,06:04 AM,07:43 PM,5,25,25,25,21,0,37,0.0,1011,33,10,287,16
2020-01-22,32,15,0.0,11.6,7,7,11,03:40 AM,05:54 PM,06:05 AM,07:43 PM,5,25,25,25,23,0,34,0.0,1010,32,10,278,17
2020-01-23,32,16,0.0,11.6,7,7,3,04:32 AM,06:48 PM,06:06 AM,07:42 PM,6,24,24,24,21,0,39,0.0,1008,32,10,295,15
2020-01-24,31,16,0.0,11.6,7,7,0,05:28 AM,07:37 PM,06:07 AM,07:42 PM,8,24,24,24,25,1,42,0.0,1010,31,10,287,19
2020-01-25,33,16,0.0,11.6,7,7,0,06:24 AM,08:21 PM,06:07 AM,07:42 PM,8,26,26,25,21,0,43,0.0,1011,33,10,293,17
2020-01-26,29,15,0.0,11.6,6,6,4,07:20 AM,09:00 PM,06:08 AM,07:41 PM,6,22,22,22,31,17,45,0.0,1016,29,10,226,25
2020-01-27,32,11,0.0,11.6,7,7,11,08:14 AM,09:35 PM,06:09 AM,07:41 PM,-1,23,23,22,23,0,29,0.0,1017,32,10,133,15
2020-01-28,36,16,0.0,11.6,8,8,18,09:08 AM,10:07 PM,06:10 AM,07:40 PM,-5,28,28,28,24,1,16,0.0,1013,36,10,297,14
2020-01-29,38,17,0.0,11.6,8,8,26,10:00 AM,10:38 PM,06:11 AM,07:40 PM,-3,29,29,29,27,5,16,0.0,1011,38,10,194,15
2020-01-30,41,21,0.0,11.6,9,9,33,10:51 AM,11:08 PM,06:12 AM,07:39 PM,1,33,33,32,27,5,19,0.0,1010,41,10,128,16
2020-01-31,40,22,0.0,11.6,8,8,37,11:43 AM,11:39 PM,06:12 AM,07:39 PM,4,33,33,32,25,4,21,0.0,1011,40,10,304,17
2020-02-01,39,22,0.0,9.1,8,8,49,12:35 PM,No moonset,06:13 AM,07:38 PM,8,32,32,32,26,40,27,0.2,1011,39,10,219,20
2020-02-02,39,25,0.0,11.6,9,9,57,01:29 PM,12:11 AM,06:14 AM,07:38 PM,9,33,33,32,33,34,27,0.1,1012,39,10,226,23
2020-02-03,39,22,0.0,10.4,7,7,64,02:24 PM,12:46 AM,06:15 AM,07:37 PM,9,31,31,31,24,29,28,0.4,1011,39,10,329,17
