date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,9,-1,0.0,8.7,2,2,37,12:33 PM,No moonset,08:24 AM,05:51 PM,-2,-0,4,-0,30,4,69,0.0,1009,9,10,210,18
2020-01-02,10,4,0.0,5.2,2,2,44,12:58 PM,12:13 AM,08:24 AM,05:52 PM,4,5,7,5,24,52,80,0.0,1003,10,10,224,14
2020-01-03,6,-1,0.0,5.2,1,1,51,01:23 PM,01:11 AM,08:24 AM,05:53 PM,2,2,4,2,15,65,83,0.2,1010,6,8,329,10
2020-01-04,3,-1,0.4,5.2,1,1,59,01:49 PM,02:08 AM,08:24 AM,05:54 PM,-2,-3,1,-3,23,57,80,0.6,1020,3,8,308,16
2020-01-05,8,-0,0.0,8.7,3,3,66,02:16 PM,03:08 AM,08:24 AM,05:55 PM,-3,-1,3,-1,32,5,65,0.0,1021,8,10,278,20
2020-01-06,7,-1,0.0,5.2,1,1,73,02:48 PM,04:08 AM,08:24 AM,05:56 PM,-5,-0,2,-0,14,45,60,0.0,1023,7,10,158,8
2020-01-07,6,-0,0.0,8.7,2,2,80,03:24 PM,05:12 AM,08:24 AM,05:56 PM,-3,-1,2,-1,25,18,66,0.0,1020,6,10,278,15
2020-01-08,4,-2,0.0,8.7,2,2,88,04:08 PM,06:15 AM,08:24 AM,05:57 PM,-7,-3,1,-3,26,20,59,0.0,1026,4,10,97,16
2020-01-09,12,4,0.0,3.5,3,3,95,05:00 PM,07:19 AM,08:24 AM,05:58 PM,5,6,9,6,45,76,75,0.5,1016,12,9,186,26
2020-01-10,13,8,0.0,3.5,3,3,100,06:01 PM,08:19 AM,08:24 AM,05:59 PM,11,10,11,10,19,95,96,41.2,1013,13,7,64,12
