date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,25,13,0.0,8.7,6,6,37,11:14 AM,11:20 PM,06:34 AM,05:56 PM,-3,19,20,19,38,2,24,0.0,1016,25,10,17,24
2020-01-02,21,10,0.0,8.7,5,5,44,11:50 AM,No moonset,06:34 AM,05:57 PM,-8,14,16,14,34,4,22,0.0,1019,21,10,27,22
2020-01-03,22,11,0.0,8.7,5,5,51,12:26 PM,12:05 AM,06:35 AM,05:57 PM,-4,15,17,15,35,2,25,0.0,1019,22,10,54,22
2020-01-04,24,11,0.0,8.7,5,5,59,01:03 PM,12:51 AM,06:35 AM,05:58 PM,-2,17,18,17,36,1,28,0.0,1018,24,10,58,23
2020-01-05,26,12,0.0,8.7,6,6,66,01:42 PM,01:38 AM,06:36 AM,05:58 PM,0,19,19,19,32,9,29,0.0,1016,26,10,64,20
2020-01-06,27,15,0.0,8.7,6,6,73,02:23 PM,02:26 AM,06:36 AM,05:59 PM,-0,21,21,21,31,19,26,0.0,1014,27,10,53,19
2020-01-07,29,16,0.0,11.6,6,6,80,03:08 PM,03:18 AM,06:36 AM,06:00 PM,-4,23,23,23,31,9,18,0.0,1014,29,10,54,19
2020-01-08,30,18,0.0,11.6,7,7,88,03:58 PM,04:12 AM,06:36 AM,06:00 PM,-1,25,25,24,32,5,20,0.0,1015,30,10,54,19
2020-01-09,31,17,0.0,11.6,7,7,95,04:53 PM,05:10 AM,06:37 AM,06:01 PM,0,24,24,24,34,0,22,0.0,1015,31,10,60,21
2020-01-10,32,17,0.0,11.6,7,7,100,05:52 PM,06:08 AM,06:37 AM,06:01 PM,0,25,25,25,31,1,23,0.0,1015,32,10,73,19
2020-01-11,33,18,0.0,11.6,7,7,100,06:53 PM,07:08 AM,06:37 AM,06:02 PM,0,25,25,25,30,2,22,0.0,1014,33,10,70,18
2020-01-12,33,19,0.0,11.6,7,7,83,07:55 PM,08:04 AM,06:38 AM,06:02 PM,1,27,27,27,30,1,21,0.0,1014,33,10,89,18
