date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,11,2,0.0,8.7,3,3,37,12:30 PM,No moonset,08:20 AM,05:51 PM,-3,3,6,3,23,1,57,0.0,1011,11,10,207,15
2020-01-02,11,6,0.0,5.2,2,2,44,12:55 PM,12:11 AM,08:20 AM,05:52 PM,5,7,9,7,20,56,76,0.1,1004,11,10,191,13
2020-01-03,8,4,0.0,3.5,2,2,51,01:21 PM,01:08 AM,08:20 AM,05:52 PM,4,5,7,5,15,80,80,0.1,1010,8,10,333,10
2020-01-04,4,-0,0.0,5.2,1,1,59,01:47 PM,02:05 AM,08:20 AM,05:53 PM,-2,-2,3,-2,23,51,72,0.2,1020,4,10,304,16
2020-01-05,10,1,0.0,8.7,3,3,66,02:15 PM,03:04 AM,08:20 AM,05:54 PM,-3,2,5,2,25,6,59,0.0,1022,10,10,263,16
2020-01-06,9,1,0.0,5.2,1,1,73,02:46 PM,04:04 AM,08:20 AM,05:55 PM,-5,3,4,3,11,40,53,0.0,1023,9,10,121,7
2020-01-07,7,2,0.0,8.7,2,2,80,03:24 PM,05:07 AM,08:20 AM,05:56 PM,-4,1,4,1,23,14,57,0.0,1021,7,10,283,15
2020-01-08,6,0,0.0,8.7,2,2,88,04:07 PM,06:11 AM,08:20 AM,05:57 PM,-5,0,3,0,22,10,54,0.0,1026,6,10,97,15
2020-01-09,12,7,0.0,5.2,3,3,95,05:00 PM,07:14 AM,08:20 AM,05:58 PM,5,7,10,7,40,82,69,6.5,1018,12,10,187,24
2020-01-10,16,12,0.0,3.5,4,4,100,06:00 PM,08:14 AM,08:20 AM,05:59 PM,13,14,15,14,30,99,91,41.1,1014,16,8,174,17
2020-01-11,6,-2,2.0,4.9,1,1,100,07:08 PM,09:09 AM,08:19 AM,06:00 PM,2,-0,4,-0,26,100,90,86.3,1010,6,5,227,19
2020-01-12,0,-7,0.7,4.9,1,1,83,08:19 PM,09:57 AM,08:19 AM,06:01 PM,-3,-5,-2,-5,12,71,92,0.6,1024,0,7,139,8
