date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,1,-11,0.0,8.7,2,2,37,12:40 PM,No moonset,08:42 AM,05:39 PM,-7,-10,-5,-10,27,20,84,0.0,1001,1,10,208,15
2020-01-02,2,-3,0.0,3.4,1,1,44,01:02 PM,12:13 AM,08:42 AM,05:40 PM,-1,-4,-0,-4,23,73,94,0.1,999,2,10,263,14
2020-01-03,1,-5,0.5,3.4,1,1,51,01:24 PM,01:14 AM,08:42 AM,05:41 PM,-3,-4,-2,-4,10,84,96,0.6,1011,1,7,215,6
2020-01-04,-4,-9,0.3,3.4,1,1,59,01:47 PM,02:14 AM,08:42 AM,05:42 PM,-7,-11,-6,-11,16,71,93,0.3,1019,-4,8,265,11
2020-01-05,2,-4,0.0,3.4,1,1,66,02:12 PM,03:17 AM,08:42 AM,05:43 PM,-4,-8,-1,-8,35,80,85,0.1,1013,2,9,291,25
2020-01-06,0,-6,0.0,5.2,1,1,73,02:40 PM,04:20 AM,08:42 AM,05:44 PM,-6,-8,-3,-8,26,56,83,0.0,1019,0,10,251,15
2020-01-07,-4,-11,0.0,8.7,1,1,80,03:15 PM,05:26 AM,08:42 AM,05:45 PM,-7,-12,-6,-12,30,48,88,0.1,1018,-4,10,288,20
2020-01-08,-12,-19,0.0,6.9,1,1,88,03:56 PM,06:33 AM,08:41 AM,05:46 PM,-16,-21,-15,-21,19,57,83,0.0,1029,-12,10,181,14
2020-01-09,3,-8,0.0,3.4,1,1,95,04:47 PM,07:38 AM,08:41 AM,05:47 PM,-4,-7,-1,-7,36,80,86,0.5,1012,3,9,168,22
2020-01-10,-7,-14,0.0,5.2,1,1,100,05:48 PM,08:38 AM,08:41 AM,05:48 PM,-10,-15,-9,-15,22,72,89,0.1,1023,-7,9,342,16
2020-01-11,-8,-12,0.0,6.9,2,2,100,06:57 PM,09:32 AM,08:40 AM,05:49 PM,-12,-18,-11,-18,24,60,87,0.0,1024,-8,10,26,19
2020-01-12,-6,-14,0.5,5.2,1,1,83,08:11 PM,10:17 AM,08:40 AM,05:51 PM,-10,-14,-9,-14,13,67,92,0.9,1026,-6,6,121,9
2020-01-13,-2,-9,1.6,6.9,1,1,76,09:28 PM,10:55 AM,08:40 AM,05:52 PM,-6,-8,-5,-8,14,74,94,1.9,1023,-2,7,143,10
2020-01-14,1,-10,4.1,5.2,1,1,69,10:44 PM,11:27 AM,08:39 AM,05:53 PM,-5,-9,-4,-9,22,80,93,4.8,1019,1,8,279,16
2020-01-15,-5,-13,0.4,5.2,1,1,61,11:58 PM,11:56 AM,08:39 AM,05:54 PM,-10,-12,-8,-12,19,83,93,1.1,1024,-5,6,238,14
2020-01-16,-16,-22,0.0,8.7,2,2,54,No moonrise,12:23 PM,08:38 AM,05:55 PM,-21,-27,-20,-27,19,45,91,0.0,1044,-16,9,321,14
2020-01-17,-6,-20,1.8,5.2,1,1,47,01:12 AM,12:51 PM,08:38 AM,05:57 PM,-13,-18,-12,-18,28,60,89,6.4,1035,-6,7,144,20
2020-01-18,-3,-18,1.1,3.5,1,1,40,02:24 AM,01:20 PM,08:37 AM,05:58 PM,-10,-17,-9,-17,32,100,92,3.8,1013,-3,6,291,25
2020-01-19,-12,-19,0.0,3.5,1,1,32,03:36 AM,01:51 PM,08:36 AM,05:59 PM,-17,-24,-16,-24,29,98,93,0.2,1031,-12,8,307,20
2020-01-20,-8,-19,0.0,4.8,1,1,25,04:46 AM,02:27 PM,08:36 AM,06:00 PM,-15,-17,-13,-17,10,77,95,0.0,1039,-8,5,324,6
2020-01-21,-8,-19,0.0,9.7,2,2,18,05:54 AM,03:10 PM,08:35 AM,06:02 PM,-15,-21,-14,-21,30,22,89,0.0,1032,-8,8,200,18
2020-01-22,1,-7,4.5,4.8,1,1,11,06:56 AM,03:59 PM,08:34 AM,06:03 PM,-3,-8,-2,-8,31,92,94,11.8,1017,1,5,195,20
2020-01-23,-0,-4,3.1,4.9,1,1,3,07:51 AM,04:54 PM,08:33 AM,06:04 PM,-3,-6,-3,-6,12,100,98,3.2,1017,-0,3,88,8
2020-01-24,-0,-5,1.6,4.9,1,1,0,08:38 AM,05:54 PM,08:33 AM,06:06 PM,-3,-6,-3,-6,16,100,98,2.4,1016,-0,4,349,10
2020-01-25,-1,-6,1.1,4.9,1,1,0,09:17 AM,06:56 PM,08:32 AM,06:07 PM,-2,-7,-2,-7,24,100,96,1.3,1014,-1,6,305,17
2020-01-26,-3,-8,0.0,6.6,1,1,4,09:50 AM,07:59 PM,08:31 AM,06:08 PM,-4,-7,-4,-7,11,80,95,0.1,1015,-3,5,274,8
2020-01-27,-0,-5,0.3,4.9,1,1,11,10:18 AM,09:01 PM,08:30 AM,06:10 PM,-3,-5,-3,-5,10,88,97,0.5,1018,-0,5,328,7
2020-01-28,-5,-12,0.2,4.9,1,1,18,10:42 AM,10:02 PM,08:29 AM,06:11 PM,-9,-11,-8,-11,10,91,95,0.3,1023,-5,7,316,6
2020-01-29,-4,-10,0.1,4.9,1,1,26,11:05 AM,11:02 PM,08:28 AM,06:12 PM,-9,-9,-7,-9,5,94,93,0.1,1025,-4,6,129,3
2020-01-30,-3,-12,0.0,4.9,1,1,33,11:27 AM,No moonset,08:27 AM,06:14 PM,-9,-11,-8,-11,11,85,94,0.0,1023,-3,5,167,7
