date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,12,3,0.0,8.7,3,3,37,12:19 PM,No moonset,07:59 AM,05:58 PM,2,6,7,6,14,45,70,0.0,1018,12,10,196,8
2020-01-02,17,9,0.0,3.8,3,3,44,12:47 PM,12:07 AM,07:59 AM,05:59 PM,12,11,13,11,21,94,93,87.6,1009,17,6,147,12
2020-01-03,15,13,0.0,5.0,3,3,51,01:16 PM,01:01 AM,08:00 AM,06:00 PM,14,14,14,14,16,84,96,35.8,1011,15,6,196,10
2020-01-04,10,4,0.0,10.0,3,3,59,01:44 PM,01:56 AM,08:00 AM,06:00 PM,5,6,9,6,25,32,79,0.8,1021,10,10,306,17
2020-01-05,14,2,0.0,10.0,3,3,66,02:15 PM,02:51 AM,08:00 AM,06:01 PM,4,6,7,6,14,0,79,0.0,1027,14,10,205,8
2020-01-06,17,7,0.0,10.0,4,4,73,02:49 PM,03:49 AM,08:00 AM,06:02 PM,9,10,11,10,13,39,86,0.2,1021,17,8,193,8
2020-01-07,12,6,0.0,10.0,3,3,80,03:29 PM,04:49 AM,08:00 AM,06:03 PM,5,7,9,7,22,29,75,1.1,1024,12,10,305,14
2020-01-08,14,5,0.0,10.0,2,2,88,04:14 PM,05:51 AM,08:00 AM,06:04 PM,3,8,9,8,13,16,68,0.0,1029,14,10,173,7
2020-01-09,15,5,0.0,6.7,2,2,95,05:08 PM,06:53 AM,08:00 AM,06:04 PM,5,7,9,7,27,60,75,0.0,1027,15,10,155,16
2020-01-10,19,14,0.0,5.0,4,4,100,06:08 PM,07:53 AM,08:00 AM,06:05 PM,14,15,16,15,34,98,88,6.6,1021,19,10,147,20
2020-01-11,22,11,0.0,5.0,4,4,100,07:14 PM,08:48 AM,08:00 AM,06:06 PM,15,17,18,17,47,81,87,26.3,1013,22,9,211,28
2020-01-12,15,7,0.0,10.1,4,4,83,08:23 PM,09:39 AM,08:00 AM,06:07 PM,8,9,10,9,10,51,85,0.1,1024,15,10,112,7
2020-01-13,17,10,0.0,8.3,3,3,76,09:33 PM,10:22 AM,08:00 AM,06:08 PM,12,13,13,13,10,61,92,3.2,1025,17,7,113,6
2020-01-14,21,18,0.0,5.3,4,4,69,10:41 PM,11:02 AM,07:59 AM,06:09 PM,18,19,19,19,17,96,96,36.2,1022,21,7,201,10
2020-01-15,22,18,0.0,5.3,5,5,61,11:48 PM,11:39 AM,07:59 AM,06:10 PM,18,20,20,20,21,95,92,6.8,1020,22,9,220,13
2020-01-16,15,9,0.0,10.5,4,4,54,No moonrise,12:13 PM,07:59 AM,06:11 PM,10,13,14,13,25,62,78,0.7,1029,15,10,22,17
2020-01-17,13,6,0.0,6.8,2,2,47,12:54 AM,12:47 PM,07:59 AM,06:12 PM,3,7,9,7,25,76,62,0.2,1030,13,9,113,15
2020-01-18,20,12,0.0,5.3,4,4,40,01:59 AM,01:23 PM,07:59 AM,06:13 PM,11,13,15,13,33,90,84,13.6,1022,20,9,197,20
2020-01-19,7,1,0.0,10.6,2,2,32,03:04 AM,02:01 PM,07:58 AM,06:13 PM,-3,-1,4,-1,30,20,62,0.1,1028,7,10,336,20
2020-01-20,4,-3,0.0,10.6,2,2,25,04:08 AM,02:43 PM,07:58 AM,06:14 PM,-8,-5,-0,-5,21,10,58,0.0,1032,4,10,349,15
2020-01-21,5,-4,0.0,10.6,2,2,18,05:11 AM,03:29 PM,07:58 AM,06:15 PM,-9,-4,-0,-4,19,7,56,0.0,1034,5,10,133,13
2020-01-22,7,-3,0.0,10.0,1,1,11,06:10 AM,04:20 PM,07:57 AM,06:16 PM,-7,-1,1,-1,15,55,57,0.0,1027,7,10,148,9
2020-01-23,7,0,0.0,5.3,1,1,3,07:05 AM,05:15 PM,07:57 AM,06:17 PM,3,2,4,2,17,84,85,25.3,1019,7,9,129,10
2020-01-24,10,4,0.0,8.5,2,2,0,07:54 AM,06:12 PM,07:56 AM,06:18 PM,5,4,7,4,20,60,85,6.5,1016,10,9,254,14
2020-01-25,10,1,0.0,10.6,3,3,0,08:37 AM,07:10 PM,07:56 AM,06:19 PM,2,4,5,4,12,20,79,0.0,1021,10,10,294,8
2020-01-26,13,4,0.0,5.3,2,2,4,09:16 AM,08:07 PM,07:55 AM,06:20 PM,5,7,8,7,10,77,83,1.1,1019,13,8,166,6
2020-01-27,14,8,0.0,8.5,3,3,11,09:49 AM,09:03 PM,07:55 AM,06:21 PM,8,10,10,10,11,54,87,1.0,1016,14,8,322,7
