date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,5,-3,0.0,9.0,2,2,37,12:52 PM,No moonset,09:00 AM,06:01 PM,-5,-1,1,-1,13,4,65,0.0,1031,5,10,299,8
2020-01-02,4,-4,0.0,9.0,2,2,44,01:15 PM,12:15 AM,09:00 AM,06:02 PM,-6,-0,1,-0,5,12,58,0.0,1033,4,10,231,3
2020-01-03,5,-2,0.0,9.0,2,2,51,01:38 PM,01:15 AM,09:00 AM,06:03 PM,-8,2,2,2,4,12,49,0.0,1027,5,10,93,2
2020-01-04,8,2,0.0,8.1,2,2,59,02:00 PM,02:15 AM,09:00 AM,06:04 PM,-6,3,5,3,18,36,47,0.0,1021,8,10,286,9
2020-01-05,2,-0,5.0,8.1,1,1,66,02:24 PM,03:16 AM,09:00 AM,06:05 PM,-3,-3,1,-3,28,73,74,7.3,1020,2,7,311,17
2020-01-06,1,-5,1.9,8.1,1,1,73,02:52 PM,04:18 AM,09:00 AM,06:06 PM,-8,-5,-2,-5,14,47,67,2.6,1029,1,8,341,8
2020-01-07,2,-4,0.0,9.1,2,2,80,03:25 PM,05:24 AM,09:00 AM,06:07 PM,-6,-1,-1,-1,4,2,67,0.0,1029,2,10,130,3
2020-01-08,2,-5,0.0,9.1,2,2,88,04:04 PM,06:29 AM,09:00 AM,06:08 PM,-9,-2,-1,-2,4,3,57,0.0,1032,2,10,78,2
2020-01-09,4,-1,0.0,9.5,1,1,95,04:52 PM,07:35 AM,08:59 AM,06:09 PM,-7,1,2,1,4,31,52,0.0,1029,4,10,191,2
2020-01-10,9,1,0.0,9.5,3,3,100,05:50 PM,08:37 AM,08:59 AM,06:10 PM,-3,5,5,5,3,16,55,0.0,1023,9,10,94,2
2020-01-11,9,3,0.0,8.2,2,2,100,06:57 PM,09:33 AM,08:59 AM,06:11 PM,0,5,6,5,8,56,67,0.1,1025,9,10,297,5
2020-01-12,4,1,0.0,4.8,1,1,83,08:09 PM,10:21 AM,08:58 AM,06:12 PM,1,2,2,2,5,84,88,0.3,1030,4,9,165,3
2020-01-13,9,-1,0.0,9.6,3,3,76,09:25 PM,11:02 AM,08:58 AM,06:13 PM,1,4,4,4,4,3,80,0.0,1027,9,10,81,3
2020-01-14,7,1,0.0,9.6,2,2,69,10:40 PM,11:37 AM,08:58 AM,06:14 PM,1,5,5,5,3,3,76,0.0,1026,7,10,90,2
2020-01-15,9,3,0.0,9.6,3,3,61,11:55 PM,12:07 PM,08:57 AM,06:16 PM,1,6,6,6,4,0,73,0.0,1029,9,10,73,3
2020-01-16,7,2,0.0,9.6,3,3,54,No moonrise,12:35 PM,08:57 AM,06:17 PM,1,4,4,4,3,1,78,0.0,1030,7,10,139,2
2020-01-17,5,-1,0.0,9.6,2,2,47,01:08 AM,01:03 PM,08:56 AM,06:18 PM,-1,2,2,2,4,12,81,0.0,1031,5,10,108,3
2020-01-18,2,-3,0.0,9.6,2,2,40,02:20 AM,01:31 PM,08:56 AM,06:19 PM,-3,-1,0,-1,6,47,80,0.0,1028,2,10,63,4
2020-01-19,1,-1,0.4,4.8,1,1,32,03:32 AM,02:02 PM,08:55 AM,06:20 PM,-2,-1,1,-1,5,81,81,0.5,1029,1,9,122,4
2020-01-20,4,-3,0.2,9.7,2,2,25,04:42 AM,02:37 PM,08:54 AM,06:22 PM,-4,-0,0,-0,5,34,72,0.4,1042,4,9,302,3
2020-01-21,4,-4,0.0,9.7,2,2,18,05:50 AM,03:18 PM,08:54 AM,06:23 PM,-5,0,1,0,4,9,64,0.0,1042,4,10,65,2
2020-01-22,10,1,0.0,9.7,3,3,11,06:54 AM,04:05 PM,08:53 AM,06:24 PM,-8,4,5,4,9,6,41,0.0,1030,10,10,228,5
2020-01-23,6,-3,0.0,9.7,2,2,3,07:52 AM,04:58 PM,08:52 AM,06:26 PM,-6,0,2,0,12,2,56,0.0,1032,6,10,322,6
2020-01-24,6,-2,0.0,9.8,2,2,0,08:41 AM,05:57 PM,08:51 AM,06:27 PM,-6,2,2,2,4,3,54,0.0,1031,6,10,79,2
2020-01-25,11,0,0.0,9.8,3,3,0,09:23 AM,06:58 PM,08:50 AM,06:28 PM,-4,4,6,4,13,4,52,0.0,1025,11,10,262,6
2020-01-26,10,5,0.0,9.8,2,2,4,09:58 AM,08:01 PM,08:50 AM,06:30 PM,3,7,8,7,9,38,73,0.0,1023,10,10,62,5
2020-01-27,5,1,0.0,4.9,1,1,11,10:28 AM,09:03 PM,08:49 AM,06:31 PM,2,2,3,2,6,79,90,7.7,1018,5,7,322,4
2020-01-28,12,4,0.0,9.8,3,3,18,10:54 AM,10:03 PM,08:48 AM,06:32 PM,2,6,7,6,14,35,70,0.1,1014,12,10,201,8
2020-01-29,10,3,0.0,4.9,2,2,26,11:18 AM,11:03 PM,08:47 AM,06:34 PM,2,6,7,6,18,69,68,3.8,1010,10,9,247,11
2020-01-30,7,2,0.0,9.9,2,2,33,11:40 AM,No moonset,08:46 AM,06:35 PM,-2,1,4,1,19,39,64,0.4,1019,7,10,296,13
2020-01-31,12,3,0.0,9.9,3,3,37,12:02 PM,12:03 AM,08:45 AM,06:36 PM,-3,5,7,5,18,41,49,0.0,1017,12,10,226,10
2020-02-01,15,6,0.0,9.9,4,4,49,12:26 PM,01:03 AM,08:44 AM,06:38 PM,4,9,10,9,17,25,64,0.0,1017,15,10,265,9
2020-02-02,12,6,0.0,9.9,3,3,57,12:51 PM,02:04 AM,08:43 AM,06:39 PM,3,8,9,8,21,33,64,0.0,1017,12,10,274,11
2020-02-03,15,6,0.0,8.3,3,3,64,01:21 PM,03:06 AM,08:42 AM,06:40 PM,4,10,11,10,18,43,63,0.0,1014,15,10,264,10
2020-02-04,13,8,0.0,10.0,3,3,72,01:56 PM,04:10 AM,08:40 AM,06:42 PM,4,9,11,9,17,62,68,3.0,1004,13,10,237,11
2020-02-05,5,-1,7.3,5.0,1,1,79,02:38 PM,05:15 AM,08:39 AM,06:43 PM,0,-0,4,-0,24,89,78,25.2,997,5,7,318,19
