date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,8,-2,0.0,9.6,2,2,37,12:54 PM,No moonset,08:47 AM,06:06 PM,-4,-2,2,-2,29,14,68,0.0,1004,8,10,214,16
2020-01-02,8,1,0.0,9.6,2,2,44,01:18 PM,12:33 AM,08:47 AM,06:07 PM,1,1,4,1,18,33,82,0.0,1002,8,10,339,10
2020-01-03,4,-1,0.0,6.5,1,1,51,01:42 PM,01:31 AM,08:47 AM,06:08 PM,-2,-3,1,-3,25,61,80,0.0,1014,4,8,285,17
2020-01-04,6,-3,0.0,9.6,2,2,59,02:07 PM,02:29 AM,08:47 AM,06:09 PM,-6,-4,1,-4,28,20,62,0.0,1021,6,10,238,19
2020-01-05,7,1,0.0,9.6,3,3,66,02:34 PM,03:29 AM,08:47 AM,06:10 PM,-3,-0,4,-0,35,11,62,0.0,1022,7,10,315,21
2020-01-06,7,-1,0.0,9.6,2,2,73,03:05 PM,04:31 AM,08:47 AM,06:11 PM,-3,-1,2,-1,19,31,70,0.0,1022,7,10,212,12
2020-01-07,9,-2,0.0,9.7,1,1,80,03:41 PM,05:35 AM,08:47 AM,06:12 PM,-4,0,4,0,27,17,67,0.0,1022,9,10,260,16
2020-01-08,5,-3,0.0,9.7,2,2,88,04:24 PM,06:39 AM,08:47 AM,06:13 PM,-5,-4,1,-4,34,8,66,0.0,1021,5,10,125,23
2020-01-09,10,3,0.0,9.7,2,2,95,05:16 PM,07:43 AM,08:47 AM,06:14 PM,1,3,7,3,36,34,70,0.0,1008,10,10,251,21
2020-01-10,-0,-9,0.0,4.8,1,1,100,06:17 PM,08:43 AM,08:47 AM,06:15 PM,-6,-10,-3,-10,33,70,84,18.5,1020,-0,6,17,24
2020-01-11,-9,-16,0.0,9.7,2,2,100,07:25 PM,09:38 AM,08:47 AM,06:16 PM,-15,-19,-12,-19,27,19,82,0.8,1023,-9,9,354,17
2020-01-12,-1,-13,0.3,6.5,1,1,83,08:37 PM,10:24 AM,08:46 AM,06:17 PM,-9,-11,-7,-11,14,63,90,0.4,1022,-1,9,133,8
2020-01-13,2,-7,0.0,6.5,1,1,76,09:51 PM,11:05 AM,08:46 AM,06:18 PM,-3,-7,-3,-7,20,63,94,0.0,1020,2,6,143,11
2020-01-14,-1,-8,0.0,9.7,2,2,69,11:04 PM,11:40 AM,08:46 AM,06:19 PM,-4,-6,-3,-6,21,15,86,0.0,1020,-1,10,142,11
2020-01-15,1,-12,0.0,9.8,1,1,61,No moonrise,12:11 PM,08:45 AM,06:20 PM,-5,-9,-3,-9,26,45,87,0.1,1025,1,7,330,18
2020-01-16,-10,-17,0.0,9.8,2,2,54,12:16 AM,12:41 PM,08:45 AM,06:21 PM,-17,-19,-14,-19,16,18,76,0.0,1044,-10,10,156,10
2020-01-17,1,-9,7.1,4.9,1,1,47,01:27 AM,01:11 PM,08:44 AM,06:22 PM,-4,-10,-4,-10,39,91,89,19.9,1025,1,5,148,25
2020-01-18,-7,-11,0.0,6.6,1,1,40,02:36 AM,01:42 PM,08:44 AM,06:24 PM,-9,-14,-6,-14,38,87,83,0.2,1022,-7,7,311,25
2020-01-19,-14,-17,0.0,9.8,2,2,32,03:46 AM,02:16 PM,08:43 AM,06:25 PM,-17,-24,-16,-24,26,15,85,0.0,1039,-14,10,327,16
2020-01-20,-15,-20,0.0,8.3,1,1,25,04:54 AM,02:54 PM,08:43 AM,06:26 PM,-19,-24,-18,-24,14,55,92,0.0,1042,-15,8,352,9
2020-01-21,-5,-19,0.0,9.9,2,2,18,06:00 AM,03:38 PM,08:42 AM,06:27 PM,-14,-18,-12,-18,26,40,88,0.0,1033,-5,7,173,15
2020-01-22,2,-1,4.7,4.9,1,1,11,07:01 AM,04:28 PM,08:42 AM,06:28 PM,0,-4,1,-4,31,100,97,13.6,1015,2,5,173,19
2020-01-23,1,-2,4.9,4.9,1,1,3,07:56 AM,05:23 PM,08:41 AM,06:29 PM,-1,-4,-0,-4,21,100,98,8.6,1015,1,3,339,13
2020-01-24,-3,-6,2.2,5.0,1,1,0,08:43 AM,06:22 PM,08:40 AM,06:31 PM,-4,-9,-3,-9,29,93,94,2.1,1019,-3,9,329,20
2020-01-25,-1,-9,0.0,8.3,1,1,0,09:24 AM,07:23 PM,08:40 AM,06:32 PM,-6,-8,-5,-8,13,67,94,0.0,1019,-1,6,241,7
2020-01-26,2,-4,0.0,8.3,1,1,4,09:59 AM,08:23 PM,08:39 AM,06:33 PM,-2,-4,-1,-4,15,45,94,0.0,1016,2,7,292,7
2020-01-27,0,-4,0.0,5.0,1,1,11,10:28 AM,09:23 PM,08:38 AM,06:34 PM,-3,-6,-2,-6,19,72,93,0.0,1019,0,9,227,12
2020-01-28,-1,-4,0.3,5.0,1,1,18,10:55 AM,10:22 PM,08:37 AM,06:36 PM,-3,-4,-2,-4,8,100,93,0.3,1022,-1,9,129,5
2020-01-29,-2,-7,1.8,5.0,1,1,26,11:20 AM,11:20 PM,08:36 AM,06:37 PM,-4,-5,-4,-5,5,98,95,2.7,1023,-2,5,159,4
2020-01-30,2,-1,0.2,5.0,1,1,33,11:44 AM,No moonset,08:35 AM,06:38 PM,-0,-4,-0,-4,19,100,98,0.3,1020,2,5,176,12
2020-01-31,2,-2,0.3,5.0,1,1,37,12:08 PM,12:18 AM,08:34 AM,06:39 PM,-0,-3,0,-3,19,97,96,1.6,1018,2,5,282,12
2020-02-01,6,-3,0.0,10.1,2,2,49,12:34 PM,01:16 AM,08:34 AM,06:41 PM,-0,-3,1,-3,27,34,90,0.0,1016,6,10,244,14
2020-02-02,9,2,0.0,10.1,3,3,57,01:02 PM,02:16 AM,08:33 AM,06:42 PM,1,3,5,3,24,2,78,0.0,1009,9,10,312,12
2020-02-03,1,-3,0.9,5.1,1,1,64,01:35 PM,03:18 AM,08:32 AM,06:43 PM,-2,-6,-0,-6,34,89,91,1.3,1008,1,7,24,23
2020-02-04,-2,-6,0.0,6.7,1,1,72,02:13 PM,04:20 AM,08:31 AM,06:44 PM,-10,-11,-4,-11,31,63,66,0.0,1021,-2,10,28,24
2020-02-05,-0,-6,0.3,8.3,1,1,79,03:00 PM,05:24 AM,08:29 AM,06:46 PM,-9,-8,-4,-8,14,56,66,0.4,1020,-0,9,48,11
2020-02-06,2,-6,0.0,10.2,2,2,87,03:56 PM,06:25 AM,08:28 AM,06:47 PM,-9,-6,-2,-6,13,17,62,0.0,1007,2,10,210,9
