date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,13,0.0,4.3,4,4,37,11:10 AM,11:24 PM,06:14 AM,05:57 PM,17,17,17,17,5,78,97,26.3,1011,21,7,25,3
2020-01-02,25,10,0.0,8.7,5,5,44,11:49 AM,No moonset,06:15 AM,05:58 PM,15,17,18,17,7,43,86,2.5,1012,25,9,23,5
2020-01-03,24,11,0.0,8.7,5,5,51,12:27 PM,12:07 AM,06:15 AM,05:58 PM,15,17,18,17,6,53,89,1.9,1014,24,7,28,4
2020-01-04,23,10,0.0,7.2,5,5,59,01:06 PM,12:50 AM,06:15 AM,05:59 PM,15,17,18,17,6,64,89,4.1,1015,23,9,31,4
2020-01-05,21,12,0.0,7.2,4,4,66,01:47 PM,01:36 AM,06:16 AM,05:59 PM,14,16,16,16,6,62,89,1.9,1015,21,9,20,4
2020-01-06,24,9,0.0,10.2,5,5,73,02:31 PM,02:22 AM,06:16 AM,06:00 PM,11,16,17,16,8,27,75,0.1,1013,24,9,26,5
2020-01-07,25,9,0.0,10.2,5,5,80,03:19 PM,03:13 AM,06:17 AM,06:00 PM,13,17,18,17,7,42,83,1.7,1012,25,10,36,5
2020-01-08,24,11,0.0,8.8,5,5,88,04:11 PM,04:06 AM,06:17 AM,06:01 PM,15,18,18,18,7,64,87,2.0,1012,24,7,52,5
2020-01-09,26,10,0.0,8.8,5,5,95,05:08 PM,05:04 AM,06:17 AM,06:01 PM,14,18,18,18,9,36,79,1.6,1011,26,10,61,6
2020-01-10,27,12,0.0,10.2,5,5,100,06:08 PM,06:02 AM,06:18 AM,06:02 PM,14,20,20,19,8,38,79,1.1,1008,27,10,70,6
2020-01-11,26,10,0.0,11.6,5,5,100,07:09 PM,07:02 AM,06:18 AM,06:02 PM,12,19,19,18,9,23,74,0.2,1009,26,8,78,6
2020-01-12,25,11,0.0,10.2,5,5,83,08:09 PM,07:59 AM,06:18 AM,06:03 PM,12,18,19,18,10,39,75,0.9,1009,25,9,70,6
2020-01-13,23,11,0.0,8.8,4,4,76,09:07 PM,08:54 AM,06:19 AM,06:03 PM,14,17,17,17,9,36,83,5.6,1009,23,10,67,5
2020-01-14,24,11,0.0,8.8,5,5,69,10:03 PM,09:45 AM,06:19 AM,06:04 PM,16,18,19,18,8,51,89,12.1,1009,24,8,68,5
2020-01-15,23,11,0.0,5.9,5,5,61,10:57 PM,10:34 AM,06:19 AM,06:04 PM,16,17,18,17,8,67,90,14.2,1009,23,8,65,4
2020-01-16,27,13,0.0,8.8,5,5,54,11:50 PM,11:22 AM,06:19 AM,06:05 PM,15,21,21,20,8,72,79,3.4,1009,27,9,100,6
2020-01-17,28,12,0.0,10.2,5,5,47,No moonrise,12:08 PM,06:20 AM,06:05 PM,15,21,21,20,9,42,76,1.5,1008,28,10,96,6
2020-01-18,28,13,0.0,8.8,5,5,40,12:42 AM,12:55 PM,06:20 AM,06:06 PM,15,21,21,20,9,55,79,2.6,1008,28,9,85,6
2020-01-19,26,13,0.0,8.8,5,5,32,01:36 AM,01:44 PM,06:20 AM,06:06 PM,16,20,20,19,7,58,86,7.3,1009,26,10,61,5
2020-01-20,22,13,0.0,5.9,5,5,25,02:30 AM,02:34 PM,06:20 AM,06:06 PM,17,18,19,18,6,84,94,20.3,1011,22,8,48,4
2020-01-21,23,12,0.0,7.4,4,4,18,03:25 AM,03:27 PM,06:20 AM,06:07 PM,16,17,18,17,6,75,93,25.0,1012,23,8,20,3
2020-01-22,20,13,0.0,5.9,4,4,11,04:20 AM,04:21 PM,06:20 AM,06:07 PM,16,17,17,17,3,84,97,20.0,1014,20,9,171,2
2020-01-23,23,11,0.0,8.8,4,4,3,05:15 AM,05:15 PM,06:21 AM,06:08 PM,16,17,17,17,6,64,93,16.9,1013,23,6,24,3
2020-01-24,21,13,0.0,5.9,4,4,0,06:07 AM,06:08 PM,06:21 AM,06:08 PM,17,17,18,17,5,90,97,12.2,1013,21,8,22,3
2020-01-25,23,11,0.0,7.4,5,5,0,06:57 AM,06:59 PM,06:21 AM,06:08 PM,16,17,18,17,5,75,91,2.7,1013,23,6,24,4
2020-01-26,22,11,0.0,8.8,4,4,4,07:43 AM,07:47 PM,06:21 AM,06:09 PM,15,17,18,17,5,56,91,3.8,1014,22,9,21,3
2020-01-27,23,11,0.0,8.8,5,5,11,08:25 AM,08:33 PM,06:21 AM,06:09 PM,16,17,18,17,5,72,92,7.8,1014,23,6,37,3
2020-01-28,21,12,0.0,5.9,4,4,18,09:06 AM,09:18 PM,06:21 AM,06:09 PM,16,17,17,17,4,87,95,13.5,1014,21,6,38,3
2020-01-29,25,10,0.0,8.8,5,5,26,09:45 AM,10:01 PM,06:21 AM,06:10 PM,14,17,18,17,7,63,84,2.1,1013,25,9,23,5
2020-01-30,25,9,0.0,10.2,5,5,33,10:23 AM,10:44 PM,06:21 AM,06:10 PM,14,17,18,17,8,49,85,2.8,1012,25,9,34,5
2020-01-31,24,11,0.0,7.4,5,5,37,11:02 AM,11:29 PM,06:21 AM,06:10 PM,16,18,19,18,6,60,89,5.1,1012,24,8,52,4
2020-02-01,26,12,0.0,8.8,5,5,49,11:42 AM,No moonset,06:21 AM,06:10 PM,16,19,19,19,8,69,87,10.3,1012,26,9,48,5
2020-02-02,24,12,0.0,6.0,5,5,57,12:23 PM,12:13 AM,06:21 AM,06:11 PM,17,18,19,18,6,76,93,19.9,1012,24,7,38,4
2020-02-03,23,12,0.0,8.8,5,5,64,01:08 PM,01:01 AM,06:21 AM,06:11 PM,16,18,19,18,6,55,89,3.6,1011,23,8,48,4
2020-02-04,26,12,0.0,8.8,5,5,72,01:57 PM,01:52 AM,06:21 AM,06:11 PM,16,19,19,19,7,66,84,4.6,1012,26,9,59,5
2020-02-05,26,11,0.0,8.8,5,5,79,02:51 PM,02:47 AM,06:21 AM,06:12 PM,15,18,18,18,8,40,83,2.9,1011,26,10,50,5
2020-02-06,27,10,0.0,8.8,5,5,87,03:49 PM,03:44 AM,06:21 AM,06:12 PM,13,18,18,18,9,31,77,2.7,1010,27,9,50,5
2020-02-07,25,11,0.0,8.8,5,5,95,04:49 PM,04:43 AM,06:21 AM,06:12 PM,15,18,18,18,7,65,85,5.5,1012,25,9,53,5
2020-02-08,23,12,0.0,7.4,5,5,100,05:51 PM,05:42 AM,06:21 AM,06:12 PM,16,18,19,18,7,53,88,7.3,1012,23,6,35,4
2020-02-09,24,11,0.0,7.4,5,5,100,06:52 PM,06:39 AM,06:21 AM,06:12 PM,15,18,18,18,7,49,86,1.5,1012,24,8,38,5
2020-02-10,24,11,0.0,8.8,5,5,83,07:51 PM,07:34 AM,06:20 AM,06:13 PM,15,17,18,17,8,41,86,4.5,1010,24,9,62,5
2020-02-11,23,12,0.0,8.8,5,5,75,08:47 PM,08:25 AM,06:20 AM,06:13 PM,15,18,20,18,9,43,83,3.9,1010,23,7,65,5
2020-02-12,27,11,0.0,8.8,5,5,68,09:43 PM,09:16 AM,06:20 AM,06:13 PM,14,18,20,18,9,43,81,3.7,1010,27,9,60,6
