date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,38,19,0.0,14.5,8,8,37,10:10 AM,11:14 PM,04:58 AM,07:04 PM,11,31,31,30,18,23,37,0.7,1012,38,10,288,11
2020-01-02,39,20,0.0,14.5,8,8,44,11:04 AM,11:43 PM,04:58 AM,07:04 PM,13,32,32,31,14,22,44,2.6,1015,39,10,266,9
2020-01-03,40,20,0.0,14.5,8,8,51,11:56 AM,No moonset,04:59 AM,07:04 PM,13,32,32,31,11,7,42,0.0,1013,40,10,270,7
2020-01-04,40,22,0.0,14.0,8,8,59,12:49 PM,12:12 AM,05:00 AM,07:04 PM,11,33,33,32,13,5,33,0.0,1012,40,10,278,9
2020-01-05,40,23,0.0,14.1,9,9,66,01:44 PM,12:42 AM,05:00 AM,07:05 PM,12,34,34,33,12,24,37,0.3,1014,40,10,178,8
2020-01-06,37,20,0.0,14.0,8,8,73,02:39 PM,01:14 AM,05:01 AM,07:05 PM,13,30,30,29,14,9,46,0.0,1016,37,10,304,10
2020-01-07,34,19,0.0,11.1,6,6,80,03:38 PM,01:49 AM,05:02 AM,07:05 PM,17,25,25,24,16,49,65,13.4,1015,34,9,202,11
2020-01-08,33,19,0.0,14.0,7,7,88,04:38 PM,02:28 AM,05:03 AM,07:05 PM,16,28,28,27,14,40,58,2.6,1014,33,10,251,9
2020-01-09,35,21,0.0,13.4,7,7,95,05:40 PM,03:14 AM,05:04 AM,07:05 PM,16,30,30,28,17,44,59,3.4,1014,35,10,279,11
2020-01-10,35,20,0.0,14.0,8,8,100,06:40 PM,04:06 AM,05:05 AM,07:05 PM,15,28,28,28,17,6,48,0.0,1011,35,10,303,12
2020-01-11,32,24,0.0,14.0,7,7,100,07:37 PM,05:06 AM,05:05 AM,07:05 PM,16,29,29,28,16,17,51,0.0,1010,32,10,285,12
2020-01-12,29,20,0.0,13.3,7,7,83,08:28 PM,06:10 AM,05:06 AM,07:05 PM,14,24,24,23,20,35,57,0.0,1014,29,10,108,16
2020-01-13,32,14,0.0,14.0,7,7,76,09:15 PM,07:18 AM,05:07 AM,07:05 PM,10,23,23,23,16,6,50,0.0,1015,32,10,155,11
2020-01-14,33,15,0.0,14.0,7,7,69,09:57 PM,08:26 AM,05:08 AM,07:05 PM,12,24,24,25,16,13,51,0.0,1015,33,10,176,11
2020-01-15,30,16,0.0,14.0,7,7,61,10:35 PM,09:34 AM,05:09 AM,07:04 PM,13,24,24,24,9,8,55,0.0,1012,30,10,164,6
2020-01-16,30,18,0.0,8.7,6,6,54,11:11 PM,10:39 AM,05:10 AM,07:04 PM,16,24,24,23,16,64,68,14.3,1007,30,9,316,11
2020-01-17,26,17,0.0,11.0,5,5,47,11:47 PM,11:43 AM,05:11 AM,07:04 PM,17,20,20,20,12,58,82,30.0,1006,26,8,164,8
2020-01-18,20,18,0.0,8.7,4,4,40,No moonrise,12:47 PM,05:11 AM,07:04 PM,17,18,18,18,17,77,91,42.0,1006,20,7,133,11
2020-01-19,28,16,0.0,12.2,6,6,32,12:23 AM,01:50 PM,05:12 AM,07:04 PM,16,23,23,22,10,53,71,1.9,1005,28,10,287,6
2020-01-20,31,19,0.0,13.3,6,6,25,01:03 AM,02:53 PM,05:13 AM,07:03 PM,14,27,27,26,19,25,56,2.1,1004,31,10,220,12
2020-01-21,30,17,0.0,13.9,7,7,18,01:45 AM,03:55 PM,05:14 AM,07:03 PM,7,25,25,24,13,0,36,0.0,1009,30,10,292,9
2020-01-22,34,17,0.0,13.9,7,7,11,02:31 AM,04:55 PM,05:15 AM,07:03 PM,7,26,26,26,13,1,34,0.0,1010,34,10,312,9
2020-01-23,35,22,0.0,12.2,7,7,3,03:23 AM,05:50 PM,05:16 AM,07:02 PM,18,30,30,27,21,39,60,8.2,1008,35,9,338,15
2020-01-24,32,22,0.0,8.7,6,6,0,04:16 AM,06:41 PM,05:17 AM,07:02 PM,21,30,30,27,18,82,76,28.8,1009,32,9,329,12
2020-01-25,34,20,0.0,12.2,7,7,0,05:13 AM,07:26 PM,05:18 AM,07:01 PM,19,30,30,28,9,44,69,4.6,1011,34,9,201,6
2020-01-26,30,22,0.0,12.2,6,6,4,06:10 AM,08:05 PM,05:19 AM,07:01 PM,20,28,28,26,12,69,73,24.3,1013,30,8,287,7
2020-01-27,31,20,0.0,11.0,6,6,11,07:06 AM,08:41 PM,05:20 AM,07:00 PM,19,28,28,26,12,66,68,6.5,1013,31,9,223,7
2020-01-28,32,21,0.0,9.8,6,6,18,08:01 AM,09:13 PM,05:21 AM,07:00 PM,18,28,28,26,8,52,65,0.4,1013,32,10,275,5
2020-01-29,34,22,0.0,13.4,8,8,26,08:55 AM,09:44 PM,05:22 AM,06:59 PM,18,30,30,28,11,19,59,0.0,1014,34,10,238,7
2020-01-30,34,21,0.0,13.4,8,8,33,09:48 AM,10:12 PM,05:22 AM,06:59 PM,18,30,30,28,11,15,59,0.0,1015,34,10,159,7
2020-01-31,35,22,0.0,13.4,7,7,37,10:40 AM,10:42 PM,05:23 AM,06:58 PM,19,31,31,29,10,21,59,0.0,1015,35,10,256,6
2020-02-01,35,23,0.0,13.3,8,8,49,11:33 AM,11:12 PM,05:24 AM,06:58 PM,18,30,30,29,13,16,54,0.0,1013,35,10,299,9
2020-02-02,35,25,0.0,13.3,8,8,57,12:27 PM,11:45 PM,05:25 AM,06:57 PM,16,31,31,30,15,14,48,0.0,1009,35,10,302,10
2020-02-03,33,22,0.0,12.0,6,6,64,01:23 PM,No moonset,05:26 AM,06:56 PM,14,29,29,28,19,25,46,1.5,1007,33,10,283,12
2020-02-04,28,17,0.0,13.3,6,6,72,02:21 PM,12:21 AM,05:27 AM,06:56 PM,13,23,23,22,22,18,60,0.0,1016,28,10,104,17
2020-02-05,27,14,0.0,13.3,6,6,79,03:21 PM,01:03 AM,05:28 AM,06:55 PM,11,21,21,20,12,33,58,0.1,1018,27,10,147,8
2020-02-06,23,15,0.0,10.8,4,4,87,04:21 PM,01:51 AM,05:29 AM,06:54 PM,14,18,19,18,16,55,76,2.1,1018,23,10,114,10
2020-02-07,26,15,0.0,9.5,5,5,95,05:20 PM,02:46 AM,05:30 AM,06:53 PM,16,20,21,20,17,61,77,2.4,1016,26,10,130,10
2020-02-08,23,18,0.0,12.0,5,5,100,06:15 PM,03:49 AM,05:31 AM,06:53 PM,17,20,21,20,14,61,84,57.0,1013,23,8,106,8
2020-02-09,26,19,0.0,8.3,5,5,100,07:05 PM,04:56 AM,05:31 AM,06:52 PM,18,22,22,21,18,75,85,53.4,1007,26,6,149,10
2020-02-10,29,17,0.0,12.0,6,6,83,07:50 PM,06:06 AM,05:32 AM,06:51 PM,16,24,24,23,13,42,74,3.7,1008,29,10,184,8
2020-02-11,30,18,0.0,12.0,6,6,75,08:31 PM,07:16 AM,05:33 AM,06:50 PM,17,23,23,23,12,42,72,5.5,1008,30,10,137,7
2020-02-12,29,19,0.0,10.7,6,6,68,09:09 PM,08:24 AM,05:34 AM,06:49 PM,17,24,24,24,10,73,70,2.3,1007,29,9,136,6
2020-02-13,27,18,0.0,9.5,5,5,60,09:46 PM,09:32 AM,05:35 AM,06:49 PM,18,22,22,21,11,63,85,8.4,1008,27,9,149,7
2020-02-14,27,16,0.0,13.1,6,6,53,10:23 PM,10:38 AM,05:36 AM,06:48 PM,16,23,23,22,12,16,73,0.0,1007,27,10,191,8
2020-02-15,30,17,0.0,13.1,7,7,45,11:03 PM,11:43 AM,05:36 AM,06:47 PM,16,24,24,24,10,22,64,0.1,1007,30,10,276,7
2020-02-16,32,19,0.0,10.7,6,6,38,11:44 PM,12:47 PM,05:37 AM,06:46 PM,18,26,26,25,11,52,71,29.5,1012,32,9,166,7
2020-02-17,29,19,0.0,10.7,6,6,30,No moonrise,01:50 PM,05:38 AM,06:45 PM,19,25,25,23,16,59,82,55.5,1013,29,6,255,8
2020-02-18,29,19,0.0,12.0,6,6,22,12:29 AM,02:50 PM,05:39 AM,06:44 PM,19,25,25,23,11,59,80,12.1,1009,29,9,227,7
2020-02-19,25,19,0.0,12.0,5,5,15,01:19 AM,03:46 PM,05:40 AM,06:43 PM,16,23,23,22,14,40,74,6.4,1006,25,10,276,10
2020-02-20,25,14,0.0,13.0,6,6,7,02:11 AM,04:37 PM,05:41 AM,06:42 PM,11,19,20,19,8,5,59,0.0,1010,25,10,224,5
2020-02-21,27,15,0.0,13.0,6,6,0,03:06 AM,05:24 PM,05:41 AM,06:41 PM,14,22,22,21,11,21,67,0.0,1014,27,10,203,7
2020-02-22,27,17,0.0,10.7,5,5,0,04:02 AM,06:04 PM,05:42 AM,06:40 PM,16,21,21,21,16,57,72,3.1,1020,27,10,82,11
2020-02-23,22,16,0.0,13.0,5,5,0,04:58 AM,06:41 PM,05:43 AM,06:39 PM,15,19,19,19,10,47,78,2.5,1022,22,10,208,7
2020-02-24,23,17,0.0,10.7,5,5,0,05:54 AM,07:14 PM,05:44 AM,06:38 PM,15,19,20,19,10,69,78,7.8,1020,23,9,150,6
2020-02-25,28,15,0.0,12.9,6,6,8,06:48 AM,07:45 PM,05:44 AM,06:37 PM,15,22,22,21,7,27,67,0.0,1015,28,10,273,4
2020-02-26,27,18,0.0,9.4,5,5,15,07:41 AM,08:14 PM,05:45 AM,06:36 PM,17,23,23,22,14,64,76,11.3,1010,27,9,288,8
2020-02-27,28,18,0.0,11.9,5,5,23,08:33 AM,08:43 PM,05:46 AM,06:35 PM,17,23,23,22,9,46,73,2.1,1009,28,10,280,6
2020-02-28,27,17,0.0,12.9,6,6,30,09:26 AM,09:12 PM,05:47 AM,06:33 PM,13,23,23,22,9,4,62,0.0,1010,27,10,207,5
2020-02-29,29,16,0.0,12.9,6,6,38,10:19 AM,09:44 PM,05:47 AM,06:32 PM,15,23,23,22,12,17,65,0.0,1014,29,10,188,7
2020-03-01,29,18,0.0,12.8,7,7,44,11:14 AM,10:17 PM,05:48 AM,06:31 PM,16,24,24,23,13,15,66,0.0,1013,29,10,308,8
2020-03-02,32,19,0.0,12.8,7,7,51,12:10 PM,10:56 PM,05:49 AM,06:30 PM,13,26,26,25,12,7,51,0.0,1012,32,10,298,8
2020-03-03,28,19,0.0,11.9,5,5,58,01:08 PM,11:40 PM,05:50 AM,06:29 PM,16,23,23,23,14,40,67,2.9,1016,28,10,132,8
2020-03-04,29,18,0.0,12.8,6,6,65,02:06 PM,No moonset,05:50 AM,06:28 PM,16,23,23,23,14,51,68,1.5,1015,29,9,60,9
2020-03-05,23,17,0.0,9.3,5,5,73,03:04 PM,12:30 AM,05:51 AM,06:27 PM,17,20,21,20,16,74,81,7.0,1010,23,8,16,11
2020-03-06,28,20,0.0,11.9,6,6,80,03:59 PM,01:28 AM,05:52 AM,06:25 PM,18,24,24,23,15,52,74,4.6,1010,28,10,261,10
