date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,4,-0,0.0,8.7,2,2,37,12:25 PM,No moonset,08:20 AM,05:39 PM,-7,-2,3,-2,29,17,51,0.2,1008,4,10,275,21
2020-01-02,7,2,0.0,8.7,2,2,44,12:49 PM,12:02 AM,08:20 AM,05:40 PM,-2,2,5,2,18,25,63,0.0,1014,7,10,224,13
2020-01-03,8,6,0.0,3.5,2,2,51,01:13 PM,01:00 AM,08:20 AM,05:41 PM,5,6,7,6,11,98,88,6.4,1010,8,8,248,7
2020-01-04,13,6,0.0,3.5,3,3,59,01:38 PM,01:58 AM,08:20 AM,05:42 PM,7,8,9,8,16,97,89,11.1,1004,13,8,239,10
2020-01-05,4,-1,0.0,8.7,2,2,66,02:05 PM,02:58 AM,08:20 AM,05:43 PM,-6,-2,3,-2,33,28,51,1.3,1009,4,10,311,25
2020-01-06,6,1,0.8,7.0,1,1,73,02:35 PM,04:00 AM,08:20 AM,05:44 PM,-3,0,4,0,26,54,62,1.0,1015,6,9,260,18
2020-01-07,5,2,0.2,5.2,1,1,80,03:11 PM,05:03 AM,08:20 AM,05:45 PM,-4,1,4,1,15,68,57,0.4,1016,5,10,203,11
2020-01-08,4,-1,0.2,5.2,1,1,88,03:54 PM,06:08 AM,08:20 AM,05:46 PM,-7,-3,2,-3,34,61,53,0.4,1016,4,9,281,26
2020-01-09,1,-4,0.0,8.7,2,2,95,04:45 PM,07:12 AM,08:20 AM,05:47 PM,-14,-5,-1,-5,17,15,38,0.0,1038,1,10,281,14
2020-01-10,9,1,0.0,3.5,2,2,100,05:46 PM,08:12 AM,08:19 AM,05:48 PM,1,2,5,2,26,90,76,0.0,1034,9,10,235,15
2020-01-11,17,8,0.0,7.0,3,3,100,06:53 PM,09:07 AM,08:19 AM,05:49 PM,10,11,13,11,37,79,84,0.1,1024,17,9,204,19
