date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,10,3,0.0,9.9,3,3,37,12:43 PM,No moonset,08:28 AM,06:14 PM,0,4,6,4,19,15,69,0.0,1014,10,10,260,12
2020-01-02,12,3,0.0,8.3,2,2,44,01:10 PM,12:27 AM,08:29 AM,06:14 PM,2,5,7,5,19,56,71,0.2,1017,12,9,217,12
2020-01-03,19,7,0.0,4.9,4,4,51,01:37 PM,01:23 AM,08:29 AM,06:15 PM,12,13,13,13,26,93,92,20.6,1012,19,6,212,17
2020-01-04,18,8,0.0,6.6,3,3,59,02:04 PM,02:18 AM,08:29 AM,06:16 PM,9,12,13,12,26,86,82,8.6,1009,18,8,273,17
2020-01-05,8,1,0.0,9.9,3,3,66,02:33 PM,03:15 AM,08:29 AM,06:17 PM,-2,1,4,1,27,9,64,0.1,1020,8,10,278,17
2020-01-06,11,3,0.0,9.9,3,3,73,03:06 PM,04:14 AM,08:29 AM,06:18 PM,-1,5,7,5,17,6,64,0.0,1020,11,10,291,10
2020-01-07,8,2,0.0,4.9,2,2,80,03:44 PM,05:16 AM,08:29 AM,06:18 PM,1,2,5,2,24,71,77,7.2,1017,8,9,253,14
2020-01-08,11,2,0.0,9.9,3,3,88,04:29 PM,06:18 AM,08:29 AM,06:19 PM,-1,3,6,3,28,2,63,0.0,1026,11,10,274,16
2020-01-09,7,-1,0.0,9.9,1,1,95,05:22 PM,07:21 AM,08:29 AM,06:20 PM,-2,1,3,1,16,29,65,0.0,1038,7,10,111,9
2020-01-10,16,4,0.0,6.6,3,3,100,06:22 PM,08:21 AM,08:29 AM,06:21 PM,9,9,10,9,20,72,88,0.1,1034,16,10,185,11
2020-01-11,18,10,0.0,5.0,4,4,100,07:29 PM,09:17 AM,08:29 AM,06:22 PM,15,14,16,14,38,87,90,0.6,1023,18,10,178,23
2020-01-12,19,15,0.0,9.9,5,5,83,08:38 PM,10:05 AM,08:28 AM,06:23 PM,13,18,18,18,25,64,77,6.5,1023,19,8,241,15
2020-01-13,18,15,0.0,5.0,4,4,76,09:50 PM,10:49 AM,08:28 AM,06:24 PM,16,16,16,16,8,98,96,21.4,1026,18,7,277,5
2020-01-14,20,15,0.0,5.0,4,4,69,10:59 PM,11:27 AM,08:28 AM,06:25 PM,16,17,17,17,17,80,93,26.5,1023,20,7,236,10
2020-01-15,17,12,0.0,5.0,3,3,61,No moonrise,12:01 PM,08:28 AM,06:26 PM,12,14,15,14,14,76,88,0.0,1021,17,7,128,8
2020-01-16,15,5,0.0,10.0,4,4,54,12:08 AM,12:34 PM,08:27 AM,06:27 PM,5,10,12,10,30,45,65,0.0,1023,15,10,322,19
2020-01-17,5,-3,0.0,10.0,2,2,47,01:16 AM,01:07 PM,08:27 AM,06:28 PM,-8,-2,2,-2,18,38,49,0.0,1038,5,10,40,13
2020-01-18,7,0,0.0,8.3,1,1,40,02:22 AM,01:41 PM,08:27 AM,06:29 PM,-1,-0,3,-0,26,61,73,2.3,1028,7,9,180,17
2020-01-19,8,-1,0.0,10.0,3,3,32,03:29 AM,02:17 PM,08:26 AM,06:30 PM,-0,3,6,3,29,24,67,1.1,1016,8,10,310,20
2020-01-20,3,-4,0.0,10.1,2,2,25,04:34 AM,02:58 PM,08:26 AM,06:31 PM,-12,-6,-1,-6,20,8,46,0.0,1027,3,10,12,14
2020-01-21,3,-5,0.0,10.1,2,2,18,05:38 AM,03:44 PM,08:26 AM,06:32 PM,-12,-6,-1,-6,20,7,47,0.0,1031,3,10,19,14
2020-01-22,5,-5,0.0,10.1,2,2,11,06:38 AM,04:34 PM,08:25 AM,06:33 PM,-9,-4,-0,-4,17,14,53,0.0,1030,5,10,21,11
2020-01-23,7,-3,0.0,5.0,1,1,3,07:34 AM,05:29 PM,08:25 AM,06:34 PM,-3,-0,2,-0,13,81,71,0.0,1028,7,10,43,7
2020-01-24,13,3,0.0,5.1,2,2,0,08:22 AM,06:26 PM,08:24 AM,06:35 PM,8,5,8,5,25,100,95,19.1,1019,13,4,120,15
2020-01-25,12,5,0.0,10.1,3,3,0,09:05 AM,07:25 PM,08:23 AM,06:36 PM,4,8,10,8,19,36,78,30.8,1014,12,9,293,13
2020-01-26,9,0,0.0,10.1,3,3,4,09:42 AM,08:23 PM,08:23 AM,06:37 PM,-1,2,5,2,17,6,69,0.0,1016,9,10,286,11
2020-01-27,8,3,0.0,5.1,2,2,11,10:14 AM,09:21 PM,08:22 AM,06:38 PM,3,4,5,4,15,78,84,3.2,1012,8,9,233,8
2020-01-28,10,0,0.0,10.2,3,3,18,10:44 AM,10:17 PM,08:22 AM,06:39 PM,-0,2,5,2,17,11,73,0.1,1015,10,10,322,10
2020-01-29,8,-0,0.0,10.0,2,2,26,11:11 AM,11:13 PM,08:21 AM,06:41 PM,-1,2,4,2,13,40,73,0.0,1019,8,10,69,7
2020-01-30,9,0,0.0,10.0,2,2,33,11:38 AM,No moonset,08:20 AM,06:42 PM,-1,2,4,2,13,59,73,0.0,1023,9,10,59,8
2020-01-31,9,-1,0.0,8.4,1,1,37,12:04 PM,12:08 AM,08:19 AM,06:43 PM,0,2,3,2,9,60,83,13.0,1024,9,9,188,5
2020-02-01,11,3,0.0,5.1,2,2,49,12:32 PM,01:04 AM,08:19 AM,06:44 PM,4,4,6,4,14,83,87,2.1,1014,11,8,293,9
2020-02-02,13,2,0.0,10.3,3,3,57,01:03 PM,02:01 AM,08:18 AM,06:45 PM,2,5,8,5,33,8,70,0.0,1009,13,10,245,20
2020-02-03,18,7,0.0,10.3,4,4,64,01:38 PM,02:59 AM,08:17 AM,06:46 PM,8,12,13,12,23,28,72,0.0,1014,18,10,222,13
2020-02-04,17,11,0.0,10.0,4,4,72,02:18 PM,04:00 AM,08:16 AM,06:47 PM,10,13,14,13,29,49,76,0.0,1014,17,10,236,17
2020-02-05,17,14,0.0,5.2,4,4,79,03:06 PM,05:02 AM,08:15 AM,06:48 PM,14,15,15,15,24,80,93,2.8,1012,17,9,216,15
2020-02-06,19,15,0.0,5.2,4,4,87,04:02 PM,06:03 AM,08:14 AM,06:49 PM,16,17,17,17,38,100,93,93.3,1000,19,6,200,24
2020-02-07,9,1,0.0,8.4,2,2,95,05:06 PM,07:01 AM,08:14 AM,06:50 PM,3,5,8,5,40,53,68,10.4,1001,9,9,263,28
2020-02-08,7,-1,0.0,8.4,1,1,100,06:15 PM,07:53 AM,08:13 AM,06:51 PM,-4,0,3,0,16,53,63,0.1,1025,7,9,212,10
2020-02-09,10,-1,0.0,10.4,3,3,100,07:28 PM,08:40 AM,08:12 AM,06:52 PM,-0,2,4,2,15,15,76,0.1,1031,10,7,254,8
2020-02-10,15,3,0.0,8.4,3,3,83,08:41 PM,09:22 AM,08:11 AM,06:53 PM,6,7,9,7,23,51,82,2.2,1025,15,8,229,14
2020-02-11,19,14,0.0,5.2,4,4,75,09:53 PM,09:59 AM,08:10 AM,06:54 PM,15,16,16,16,34,93,91,14.7,1015,19,7,230,21
2020-02-12,12,6,0.0,6.8,2,2,68,11:04 PM,10:33 AM,08:09 AM,06:55 PM,7,8,10,8,19,76,81,0.3,1020,12,9,97,12
