date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,4,-6,0.0,8.7,2,2,37,12:29 PM,No moonset,08:27 AM,05:36 PM,-4,-6,-1,-6,35,17,79,0.0,1006,4,10,204,21
2020-01-02,6,2,0.0,5.2,1,1,44,12:53 PM,12:05 AM,08:27 AM,05:37 PM,1,-1,3,-1,33,52,87,0.0,1001,6,9,228,19
2020-01-03,2,-2,0.0,8.7,2,2,51,01:16 PM,01:05 AM,08:27 AM,05:38 PM,-3,-2,0,-2,11,57,82,0.0,1011,2,9,222,7
2020-01-04,0,-5,0.1,5.2,1,1,59,01:40 PM,02:04 AM,08:27 AM,05:39 PM,-4,-6,-2,-6,17,62,83,0.2,1018,0,9,310,13
2020-01-05,4,-4,0.0,5.2,1,1,66,02:06 PM,03:05 AM,08:27 AM,05:40 PM,-4,-6,-0,-6,38,51,80,0.0,1015,4,10,261,26
2020-01-06,2,-4,0.0,6.9,1,1,73,02:35 PM,04:08 AM,08:27 AM,05:41 PM,-6,-6,-1,-6,26,46,68,0.0,1021,2,10,247,16
2020-01-07,2,-2,0.0,5.2,1,1,80,03:10 PM,05:13 AM,08:27 AM,05:42 PM,-6,-6,-0,-6,27,52,66,0.0,1017,2,10,289,19
2020-01-08,-6,-13,0.0,8.7,2,2,88,03:53 PM,06:18 AM,08:27 AM,05:43 PM,-17,-13,-7,-13,24,14,46,0.0,1028,-6,10,164,19
2020-01-09,7,-5,0.0,3.4,1,1,95,04:44 PM,07:23 AM,08:27 AM,05:44 PM,-1,-3,2,-3,49,66,75,0.4,1015,7,9,180,30
2020-01-10,3,-0,0.0,3.4,1,1,100,05:45 PM,08:23 AM,08:27 AM,05:45 PM,-1,-3,1,-3,23,83,87,7.2,1018,3,8,32,16
2020-01-11,-4,-7,0.0,3.5,1,1,100,06:53 PM,09:17 AM,08:26 AM,05:46 PM,-6,-12,-4,-12,42,97,91,23.3,1016,-4,1,28,31
2020-01-12,-5,-13,1.4,8.7,1,1,83,08:07 PM,10:03 AM,08:26 AM,05:47 PM,-9,-13,-9,-13,16,65,93,1.6,1025,-5,8,83,10
2020-01-13,-1,-7,0.2,7.0,1,1,76,09:22 PM,10:42 AM,08:26 AM,05:48 PM,-4,-8,-4,-8,19,78,94,0.2,1024,-1,7,197,11
2020-01-14,2,-5,0.0,3.5,1,1,69,10:36 PM,11:16 AM,08:25 AM,05:49 PM,-1,-5,-1,-5,24,72,95,0.1,1020,2,10,252,16
2020-01-15,0,-6,0.0,3.5,1,1,61,11:49 PM,11:46 AM,08:25 AM,05:50 PM,-4,-8,-3,-8,25,79,92,0.7,1021,0,7,227,16
2020-01-16,-11,-16,0.0,8.7,2,2,54,No moonrise,12:15 PM,08:24 AM,05:52 PM,-15,-21,-13,-21,26,27,85,0.1,1040,-11,10,323,19
2020-01-17,-4,-14,0.1,5.2,1,1,47,01:01 AM,12:43 PM,08:24 AM,05:53 PM,-9,-14,-8,-14,27,58,88,4.5,1036,-4,8,137,19
2020-01-18,2,-17,0.0,3.5,1,1,40,02:12 AM,01:13 PM,08:23 AM,05:54 PM,-6,-13,-5,-13,41,100,92,10.4,1012,2,4,280,29
2020-01-19,-11,-19,0.0,3.5,1,1,32,03:23 AM,01:46 PM,08:23 AM,05:55 PM,-17,-25,-16,-25,31,91,92,0.1,1029,-11,7,309,21
2020-01-20,-7,-16,0.0,7.0,1,1,25,04:32 AM,02:23 PM,08:22 AM,05:56 PM,-13,-17,-12,-17,14,48,93,0.0,1037,-7,5,237,7
2020-01-21,-7,-15,0.0,8.7,2,2,18,05:39 AM,03:06 PM,08:22 AM,05:58 PM,-11,-16,-11,-16,24,41,93,0.1,1035,-7,8,222,14
2020-01-22,-1,-6,0.0,7.0,1,1,11,06:40 AM,03:56 PM,08:21 AM,05:59 PM,-6,-11,-4,-11,33,55,88,0.0,1022,-1,10,190,22
2020-01-23,1,-6,0.8,4.9,1,1,3,07:36 AM,04:51 PM,08:20 AM,06:00 PM,-1,-5,-1,-5,18,100,98,2.8,1017,1,5,145,12
2020-01-24,1,-1,2.2,4.9,1,1,0,08:23 AM,05:51 PM,08:19 AM,06:01 PM,1,-3,1,-3,21,100,99,7.1,1012,1,3,52,12
2020-01-25,1,-1,10.5,4.9,1,1,0,09:03 AM,06:52 PM,08:19 AM,06:03 PM,-0,-5,0,-5,25,100,97,11.8,1012,1,3,293,17
2020-01-26,-1,-8,0.3,4.9,1,1,4,09:37 AM,07:54 PM,08:18 AM,06:04 PM,-2,-6,-2,-6,18,97,95,0.3,1015,-1,6,261,13
