date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,13,4,0.0,9.9,3,3,37,12:56 PM,No moonset,08:39 AM,06:28 PM,-0,4,8,4,48,2,56,0.0,1009,13,10,201,30
2020-01-02,15,9,0.0,9.9,4,4,44,01:24 PM,12:42 AM,08:39 AM,06:28 PM,5,8,11,8,30,41,68,0.0,1000,15,10,247,18
2020-01-03,11,6,0.0,9.9,2,2,51,01:51 PM,01:38 AM,08:39 AM,06:29 PM,2,4,8,4,29,38,68,0.0,1014,11,10,339,21
2020-01-04,11,2,0.0,9.9,3,3,59,02:18 PM,02:33 AM,08:40 AM,06:30 PM,-3,4,6,4,21,7,54,0.0,1026,11,10,209,12
2020-01-05,12,6,0.0,9.9,3,3,66,02:48 PM,03:30 AM,08:40 AM,06:31 PM,-1,5,8,5,37,3,53,0.0,1024,12,10,130,23
2020-01-06,11,4,0.0,9.9,3,3,73,03:22 PM,04:28 AM,08:40 AM,06:32 PM,-3,4,6,4,19,8,53,0.0,1024,11,10,214,11
2020-01-07,14,3,0.0,9.9,3,3,80,04:00 PM,05:30 AM,08:40 AM,06:33 PM,-6,5,7,5,26,0,40,0.0,1026,14,10,218,15
2020-01-08,14,6,0.0,6.6,2,2,88,04:45 PM,06:32 AM,08:40 AM,06:34 PM,-2,6,10,6,51,43,43,0.0,1020,14,10,192,31
2020-01-09,20,12,0.0,9.9,5,5,95,05:39 PM,07:35 AM,08:40 AM,06:34 PM,10,14,15,14,47,46,72,0.0,1011,20,10,210,32
2020-01-10,20,13,0.0,5.0,4,4,100,06:39 PM,08:34 AM,08:40 AM,06:35 PM,11,16,17,16,45,79,85,12.0,1008,20,9,186,29
2020-01-11,2,-6,0.1,8.3,1,1,100,07:46 PM,09:30 AM,08:39 AM,06:36 PM,-6,-8,-2,-8,29,61,74,2.3,1020,2,5,337,23
