date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,-1,-8,0.7,5.2,1,1,37,12:41 PM,No moonset,08:36 AM,05:55 PM,-6,-8,-3,-8,23,65,80,1.2,1010,-1,8,274,16
2020-01-02,6,-2,0.0,7.0,1,1,44,01:05 PM,12:18 AM,08:36 AM,05:56 PM,-2,-1,2,-1,13,44,79,0.0,1012,6,10,188,7
2020-01-03,7,3,0.0,3.5,2,2,51,01:29 PM,01:16 AM,08:36 AM,05:57 PM,5,5,5,5,5,100,98,11.5,1009,7,7,145,3
2020-01-04,9,0,0.2,3.5,2,2,59,01:54 PM,02:15 AM,08:36 AM,05:57 PM,4,3,6,3,17,95,89,13.5,1006,9,8,286,12
2020-01-05,1,-2,0.4,3.5,1,1,66,02:21 PM,03:15 AM,08:36 AM,05:58 PM,-5,-6,-1,-6,23,79,73,0.8,1015,1,9,294,18
2020-01-06,2,-5,2.4,8.7,2,2,73,02:51 PM,04:16 AM,08:36 AM,05:59 PM,-4,-5,-0,-5,27,45,77,3.2,1016,2,7,287,18
2020-01-07,1,-3,5.6,4.8,1,1,80,03:27 PM,05:20 AM,08:36 AM,06:00 PM,-3,-3,-1,-3,10,72,85,10.3,1017,1,6,216,6
2020-01-08,-1,-8,0.4,4.8,1,1,88,04:10 PM,06:24 AM,08:36 AM,06:01 PM,-8,-9,-3,-9,28,61,71,1.6,1021,-1,7,287,20
2020-01-09,-3,-9,0.0,9.7,2,2,95,05:01 PM,07:29 AM,08:35 AM,06:02 PM,-10,-9,-6,-9,12,30,75,0.0,1037,-3,10,145,8
2020-01-10,4,-5,0.0,4.8,1,1,100,06:02 PM,08:29 AM,08:35 AM,06:03 PM,-1,-2,0,-2,9,77,91,5.1,1030,4,8,153,5
2020-01-11,14,3,0.0,4.8,3,3,100,07:10 PM,09:24 AM,08:35 AM,06:04 PM,9,8,10,8,25,80,95,0.2,1017,14,7,183,13
2020-01-12,9,1,0.0,9.7,3,3,83,08:22 PM,10:11 AM,08:35 AM,06:05 PM,4,5,7,5,31,43,80,8.8,1020,9,9,283,20
2020-01-13,7,-1,0.0,8.2,1,1,76,09:36 PM,10:51 AM,08:34 AM,06:06 PM,1,2,3,2,8,45,89,0.0,1028,7,8,218,5
2020-01-14,5,-2,0.0,6.5,1,1,69,10:49 PM,11:27 AM,08:34 AM,06:07 PM,2,1,3,1,10,62,93,0.4,1023,5,7,158,6
2020-01-15,9,-1,0.0,9.7,2,2,61,No moonrise,11:58 AM,08:34 AM,06:08 PM,1,3,4,3,10,30,80,0.1,1020,9,9,197,6
2020-01-16,3,-4,0.3,9.8,1,1,54,12:01 AM,12:28 PM,08:33 AM,06:10 PM,-3,-3,2,-3,35,64,71,1.5,1021,3,7,300,26
2020-01-17,-4,-10,0.0,9.8,2,2,47,01:12 AM,12:57 PM,08:33 AM,06:11 PM,-15,-11,-6,-11,19,30,49,0.1,1040,-4,9,336,15
2020-01-18,-3,-9,10.6,4.9,1,1,40,02:21 AM,01:29 PM,08:32 AM,06:12 PM,-7,-9,-5,-9,19,94,79,29.0,1022,-3,6,166,14
2020-01-19,-6,-10,4.2,4.9,1,1,32,03:31 AM,02:02 PM,08:32 AM,06:13 PM,-8,-12,-6,-12,25,85,85,3.4,1013,-6,8,284,18
2020-01-20,-5,-12,0.1,9.8,2,2,25,04:39 AM,02:40 PM,08:31 AM,06:14 PM,-12,-14,-8,-14,19,19,79,0.2,1029,-5,9,331,12
2020-01-21,-3,-13,0.0,6.6,1,1,18,05:45 AM,03:24 PM,08:31 AM,06:15 PM,-11,-12,-9,-12,12,48,87,0.0,1033,-3,8,299,8
2020-01-22,-0,-11,0.0,9.9,2,2,11,06:46 AM,04:13 PM,08:30 AM,06:16 PM,-9,-8,-6,-8,6,37,81,0.0,1032,-0,8,195,4
2020-01-23,2,-7,0.0,6.6,1,1,3,07:42 AM,05:09 PM,08:29 AM,06:18 PM,-7,-4,-3,-4,5,66,78,0.0,1028,2,10,153,3
2020-01-24,2,-5,0.0,5.0,1,1,0,08:29 AM,06:07 PM,08:29 AM,06:19 PM,-2,-3,-1,-3,11,79,88,0.2,1024,2,9,113,7
2020-01-25,4,-2,0.1,5.0,1,1,0,09:11 AM,07:08 PM,08:28 AM,06:20 PM,1,-0,2,-0,13,93,95,40.4,1013,4,8,253,9
2020-01-26,1,-3,0.3,5.0,1,1,4,09:46 AM,08:09 PM,08:27 AM,06:21 PM,-3,-5,-1,-5,20,74,86,0.2,1011,1,10,266,14
2020-01-27,2,-2,0.1,5.0,1,1,11,10:16 AM,09:09 PM,08:26 AM,06:22 PM,-3,-5,-0,-5,21,94,83,0.3,1009,2,9,292,15
2020-01-28,1,-3,0.0,6.6,1,1,18,10:42 AM,10:07 PM,08:26 AM,06:24 PM,-5,-7,-2,-7,24,67,77,0.0,1014,1,10,306,17
2020-01-29,1,-5,0.0,10.0,2,2,26,11:07 AM,11:05 PM,08:25 AM,06:25 PM,-7,-6,-3,-6,13,15,73,0.0,1021,1,10,339,9
2020-01-30,1,-6,0.0,10.0,2,2,33,11:32 AM,No moonset,08:24 AM,06:26 PM,-9,-5,-3,-5,9,37,63,0.0,1025,1,10,142,6
2020-01-31,2,-4,0.0,5.0,1,1,37,11:55 AM,12:03 AM,08:23 AM,06:27 PM,-4,-2,-1,-2,7,100,78,0.1,1024,2,9,154,5
2020-02-01,4,-1,0.3,6.7,1,1,49,12:21 PM,01:02 AM,08:22 AM,06:29 PM,-1,-0,1,-0,7,89,88,0.5,1013,4,8,260,5
2020-02-02,2,-4,0.9,5.0,1,1,57,12:49 PM,02:01 AM,08:21 AM,06:30 PM,-1,-4,-0,-4,21,84,89,5.0,1002,2,7,251,13
2020-02-03,8,1,0.0,10.1,3,3,64,01:21 PM,03:03 AM,08:20 AM,06:31 PM,3,2,5,2,22,40,84,0.0,1010,8,10,271,14
2020-02-04,12,5,0.0,5.1,2,2,72,02:00 PM,04:06 AM,08:19 AM,06:32 PM,7,7,8,7,14,98,92,5.4,1009,12,9,229,8
2020-02-05,1,-2,1.6,8.3,1,1,79,02:46 PM,05:09 AM,08:18 AM,06:34 PM,-5,-4,-1,-4,16,76,73,1.7,1017,1,8,51,11
2020-02-06,7,-2,0.0,5.1,1,1,87,03:42 PM,06:11 AM,08:17 AM,06:35 PM,3,2,3,2,10,100,97,9.0,1000,7,5,148,6
2020-02-07,2,-5,9.9,5.1,1,1,95,04:46 PM,07:08 AM,08:16 AM,06:36 PM,-2,-5,-0,-5,22,93,89,36.4,995,2,5,298,17
2020-02-08,1,-6,0.6,5.1,1,1,100,05:58 PM,08:00 AM,08:15 AM,06:37 PM,-6,-7,-3,-7,15,78,80,0.9,1021,1,7,260,11
2020-02-09,3,-5,1.0,10.3,1,1,100,07:13 PM,08:44 AM,08:14 AM,06:39 PM,-3,-3,-1,-3,12,73,86,2.1,1029,3,6,216,8
2020-02-10,6,0,1.2,5.1,1,1,83,08:29 PM,09:23 AM,08:12 AM,06:40 PM,2,1,3,1,14,100,96,11.9,1019,6,5,207,8
2020-02-11,6,0,0.0,6.8,2,2,75,09:45 PM,09:57 AM,08:11 AM,06:41 PM,1,3,4,3,12,76,89,0.5,1015,6,6,278,8
