date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,8,-2,0.0,8.7,2,2,37,12:33 PM,No moonset,08:26 AM,05:47 PM,-2,-2,2,-2,33,16,73,0.0,1008,8,10,206,20
2020-01-02,9,4,0.0,5.2,2,2,44,12:57 PM,12:12 AM,08:26 AM,05:48 PM,3,3,6,3,27,48,80,0.0,1002,9,10,228,17
2020-01-03,5,1,0.0,3.5,1,1,51,01:22 PM,01:10 AM,08:26 AM,05:49 PM,0,-0,3,-0,15,71,84,1.1,1011,5,9,337,11
2020-01-04,1,-2,0.3,5.2,1,1,59,01:47 PM,02:08 AM,08:26 AM,05:50 PM,-3,-5,-1,-5,21,55,82,0.1,1019,1,10,310,14
2020-01-05,8,-1,0.0,8.7,2,2,66,02:14 PM,03:08 AM,08:26 AM,05:51 PM,-3,-2,3,-2,38,6,67,0.0,1019,8,10,277,24
2020-01-06,5,-2,0.0,8.7,2,2,73,02:44 PM,04:09 AM,08:26 AM,05:52 PM,-6,-2,1,-2,16,25,60,0.0,1022,5,10,212,9
2020-01-07,5,-1,0.0,8.7,2,2,80,03:21 PM,05:13 AM,08:26 AM,05:53 PM,-4,-2,2,-2,23,33,68,0.0,1019,5,10,284,14
2020-01-08,1,-5,0.0,8.7,2,2,88,04:04 PM,06:17 AM,08:26 AM,05:54 PM,-12,-7,-2,-7,27,26,47,0.0,1027,1,10,84,18
2020-01-09,11,1,0.0,3.5,2,2,95,04:56 PM,07:21 AM,08:26 AM,05:55 PM,4,3,8,3,51,73,76,0.3,1015,11,10,187,29
2020-01-10,7,3,0.0,3.5,2,2,100,05:57 PM,08:21 AM,08:26 AM,05:56 PM,5,4,7,4,24,99,88,16.2,1015,7,9,27,15
2020-01-11,-1,-4,0.3,3.5,1,1,100,07:05 PM,09:16 AM,08:26 AM,05:57 PM,-3,-8,-1,-8,39,100,89,9.4,1014,-1,5,129,29
2020-01-12,-0,-6,0.2,7.0,1,1,83,08:17 PM,10:03 AM,08:25 AM,05:58 PM,-5,-7,-3,-7,16,70,88,0.0,1024,-0,10,128,11
2020-01-13,4,-3,0.0,8.7,2,2,76,09:31 PM,10:43 AM,08:25 AM,05:59 PM,-2,-4,-0,-4,21,54,92,0.0,1024,4,7,150,13
2020-01-14,6,-0,0.0,9.8,1,1,69,10:43 PM,11:19 AM,08:25 AM,06:00 PM,1,-0,3,-0,20,41,89,0.0,1021,6,8,283,12
2020-01-15,8,-1,0.0,4.9,2,2,61,11:55 PM,11:50 AM,08:24 AM,06:01 PM,1,1,4,1,28,71,88,0.0,1021,8,8,278,19
2020-01-16,-4,-11,0.0,9.8,1,1,54,No moonrise,12:20 PM,08:24 AM,06:02 PM,-16,-14,-7,-14,25,20,50,0.0,1041,-4,10,339,19
2020-01-17,-3,-11,1.2,6.6,1,1,47,01:05 AM,12:50 PM,08:23 AM,06:03 PM,-9,-10,-5,-10,31,73,73,7.4,1034,-3,8,133,21
2020-01-18,3,-14,0.0,4.9,1,1,40,02:15 AM,01:22 PM,08:23 AM,06:04 PM,-5,-11,-4,-11,46,98,91,5.7,1015,3,8,290,31
2020-01-19,-14,-18,0.0,4.9,1,1,32,03:24 AM,01:56 PM,08:22 AM,06:05 PM,-18,-26,-16,-26,32,87,87,0.0,1032,-14,10,308,23
2020-01-20,-10,-18,0.0,6.6,1,1,25,04:32 AM,02:34 PM,08:22 AM,06:06 PM,-15,-20,-14,-20,15,78,92,0.0,1039,-10,7,328,10
