date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,15,9,0.0,5.1,3,3,37,12:41 PM,No moonset,08:14 AM,06:32 PM,7,12,14,12,22,84,66,2.6,1016,15,10,102,14
2020-01-02,16,9,0.0,5.1,4,4,44,01:12 PM,12:34 AM,08:14 AM,06:33 PM,15,15,16,15,24,91,91,16.6,1006,16,9,236,14
2020-01-03,19,15,0.0,10.2,5,5,51,01:42 PM,01:27 AM,08:14 AM,06:33 PM,12,16,16,16,28,24,77,0.9,1012,19,9,279,17
2020-01-04,17,12,0.0,10.2,4,4,59,02:12 PM,02:19 AM,08:15 AM,06:34 PM,5,13,14,13,24,0,56,0.0,1026,17,10,326,15
2020-01-05,18,14,0.0,10.2,5,5,66,02:45 PM,03:13 AM,08:15 AM,06:35 PM,10,15,16,15,25,0,67,0.0,1027,18,10,216,14
2020-01-06,19,16,0.0,10.0,5,5,73,03:21 PM,04:08 AM,08:15 AM,06:36 PM,13,17,17,17,27,28,78,0.1,1022,19,10,211,14
2020-01-07,15,11,0.0,10.0,3,3,80,04:02 PM,05:07 AM,08:15 AM,06:36 PM,5,13,14,13,25,30,52,0.0,1028,15,10,26,16
2020-01-08,16,12,0.0,10.2,4,4,88,04:49 PM,06:07 AM,08:15 AM,06:37 PM,8,14,14,14,28,20,65,0.0,1027,16,10,115,17
2020-01-09,19,17,0.0,6.7,4,4,95,05:44 PM,07:08 AM,08:15 AM,06:38 PM,16,18,18,18,53,63,88,1.2,1019,19,10,160,27
2020-01-10,19,13,0.0,5.1,4,4,100,06:44 PM,08:08 AM,08:15 AM,06:39 PM,18,18,19,18,64,79,93,0.2,1013,19,10,158,32
2020-01-11,16,11,0.0,10.3,4,4,100,07:49 PM,09:04 AM,08:15 AM,06:40 PM,10,14,15,14,45,32,72,20.4,1017,16,9,308,28
2020-01-12,14,8,0.0,10.3,4,4,83,08:56 PM,09:56 AM,08:15 AM,06:40 PM,7,9,11,9,18,19,75,0.0,1023,14,10,109,13
2020-01-13,16,11,0.0,5.1,3,3,76,10:04 PM,10:41 AM,08:15 AM,06:41 PM,14,13,14,13,27,90,94,6.7,1022,16,8,79,16
2020-01-14,21,19,0.0,5.1,4,4,69,11:10 PM,11:24 AM,08:15 AM,06:42 PM,18,19,19,19,36,76,94,15.5,1020,21,9,181,18
2020-01-15,21,19,0.0,10.0,4,4,61,No moonrise,12:02 PM,08:15 AM,06:43 PM,18,19,19,19,30,54,95,0.2,1020,21,8,184,15
2020-01-16,19,18,0.0,5.1,4,4,54,12:14 AM,12:38 PM,08:15 AM,06:44 PM,18,18,18,18,28,81,96,0.2,1024,19,6,80,15
2020-01-17,17,11,0.0,6.8,4,4,47,01:18 AM,01:15 PM,08:15 AM,06:45 PM,16,16,16,16,46,79,94,0.7,1023,17,10,96,27
2020-01-18,21,17,0.0,10.3,5,5,40,02:20 AM,01:53 PM,08:14 AM,06:45 PM,17,19,19,19,31,57,87,1.5,1021,21,10,259,16
2020-01-19,12,9,0.0,10.3,4,4,32,03:23 AM,02:33 PM,08:14 AM,06:46 PM,4,8,11,8,42,29,60,3.1,1029,12,10,35,32
