date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,10,3,0.0,8.7,3,3,37,12:35 PM,No moonset,08:27 AM,05:57 PM,-2,4,6,4,13,9,55,0.0,1011,10,10,277,10
2020-01-02,10,4,0.0,8.7,2,2,44,01:01 PM,12:15 AM,08:27 AM,05:57 PM,1,6,7,6,11,27,64,0.0,1015,10,10,202,7
2020-01-03,12,9,0.0,3.5,3,3,51,01:26 PM,01:13 AM,08:27 AM,05:58 PM,9,9,10,9,15,92,90,11.9,1010,12,8,243,9
2020-01-04,13,8,0.0,3.5,3,3,59,01:52 PM,02:10 AM,08:27 AM,05:59 PM,9,10,12,10,20,84,87,3.3,1005,13,7,265,12
2020-01-05,7,2,0.0,9.7,2,2,66,02:20 PM,03:09 AM,08:27 AM,06:00 PM,-4,1,4,1,22,15,56,0.9,1015,7,10,303,17
2020-01-06,9,2,0.0,9.7,3,3,73,02:51 PM,04:09 AM,08:27 AM,06:01 PM,-3,3,5,3,15,22,58,0.0,1017,9,10,275,10
2020-01-07,6,-2,8.3,4.9,1,1,80,03:28 PM,05:12 AM,08:27 AM,06:02 PM,-2,1,3,1,14,61,69,20.4,1016,6,8,185,10
2020-01-08,6,-2,0.0,9.8,2,2,88,04:11 PM,06:15 AM,08:27 AM,06:03 PM,-4,-2,3,-2,25,7,63,0.0,1022,6,10,289,18
2020-01-09,3,-1,0.0,8.2,1,1,95,05:03 PM,07:19 AM,08:27 AM,06:04 PM,-7,-2,1,-2,11,37,54,0.0,1039,3,10,126,9
2020-01-10,11,2,0.0,8.2,2,2,100,06:04 PM,08:19 AM,08:26 AM,06:05 PM,4,4,7,4,20,63,80,0.0,1034,11,9,204,13
2020-01-11,19,9,0.0,6.6,4,4,100,07:11 PM,09:14 AM,08:26 AM,06:06 PM,13,14,15,14,30,76,86,0.4,1023,19,6,195,18
2020-01-12,17,11,0.0,9.8,5,5,83,08:22 PM,10:02 AM,08:26 AM,06:07 PM,9,16,17,16,27,28,62,0.8,1021,17,9,297,18
2020-01-13,13,8,0.0,6.6,3,3,76,09:35 PM,10:44 AM,08:26 AM,06:08 PM,5,10,10,10,6,66,72,0.0,1028,13,10,331,5
2020-01-14,11,7,0.0,4.9,2,2,69,10:47 PM,11:20 AM,08:25 AM,06:09 PM,6,8,9,8,7,65,83,0.2,1024,11,9,166,5
2020-01-15,16,6,0.0,9.9,4,4,61,11:58 PM,11:53 AM,08:25 AM,06:10 PM,6,9,10,9,13,33,73,0.0,1021,16,10,200,8
2020-01-16,11,2,0.0,9.9,3,3,54,No moonrise,12:24 PM,08:25 AM,06:11 PM,0,5,9,5,31,29,58,0.1,1020,11,10,307,23
2020-01-17,1,-4,0.0,9.9,1,1,47,01:07 AM,12:55 PM,08:24 AM,06:12 PM,-12,-5,-0,-5,20,24,39,0.0,1038,1,10,346,16
2020-01-18,3,-3,2.5,4.9,1,1,40,02:15 AM,01:28 PM,08:24 AM,06:13 PM,-5,-3,1,-3,22,83,62,5.5,1027,3,6,181,15
2020-01-19,4,-2,0.0,9.9,1,1,32,03:24 AM,02:02 PM,08:23 AM,06:14 PM,-4,-2,3,-2,28,36,62,0.1,1013,4,10,309,20
2020-01-20,1,-5,0.0,9.9,2,2,25,04:30 AM,02:41 PM,08:23 AM,06:15 PM,-12,-7,-2,-7,21,15,47,0.0,1027,1,10,338,18
2020-01-21,2,-3,0.0,9.9,2,2,18,05:36 AM,03:26 PM,08:22 AM,06:16 PM,-11,-5,-1,-5,15,4,49,0.0,1032,2,10,342,12
2020-01-22,8,-2,0.0,10.0,2,2,11,06:37 AM,04:15 PM,08:22 AM,06:17 PM,-8,1,3,1,6,16,50,0.0,1031,8,10,338,5
2020-01-23,7,-2,0.0,6.6,1,1,3,07:32 AM,05:11 PM,08:21 AM,06:18 PM,-4,1,2,1,6,68,65,0.0,1029,7,10,172,4
2020-01-24,11,0,0.0,5.0,2,2,0,08:20 AM,06:09 PM,08:21 AM,06:20 PM,2,3,5,3,17,80,81,0.0,1024,11,10,90,11
2020-01-25,12,6,0.0,5.0,3,3,0,09:02 AM,07:09 PM,08:20 AM,06:21 PM,7,8,10,8,19,75,81,33.4,1012,12,8,275,13
2020-01-26,8,3,0.0,8.3,2,2,4,09:38 AM,08:08 PM,08:19 AM,06:22 PM,-2,3,5,3,16,40,60,0.0,1013,8,10,279,11
2020-01-27,9,2,0.0,8.3,2,2,11,10:09 AM,09:07 PM,08:19 AM,06:23 PM,-1,2,5,2,17,40,65,0.0,1010,9,10,281,12
2020-01-28,8,1,0.0,10.0,2,2,18,10:37 AM,10:05 PM,08:18 AM,06:24 PM,-3,1,4,1,21,37,62,0.0,1014,8,10,317,16
2020-01-29,9,1,0.0,10.1,3,3,26,11:03 AM,11:02 PM,08:17 AM,06:25 PM,-3,2,5,2,13,6,59,0.0,1020,9,10,327,10
2020-01-30,6,-0,0.0,5.1,1,1,33,11:28 AM,11:59 PM,08:16 AM,06:26 PM,-5,1,3,1,8,56,56,0.0,1025,6,10,96,6
2020-01-31,9,-0,0.0,8.3,2,2,37,11:53 AM,No moonset,08:15 AM,06:28 PM,-1,4,4,4,5,55,70,0.0,1025,9,10,149,4
2020-02-01,7,2,0.0,6.7,2,2,49,12:19 PM,12:56 AM,08:15 AM,06:29 PM,2,5,5,5,5,64,82,2.6,1013,7,10,281,3
2020-02-02,10,3,0.0,6.7,2,2,57,12:48 PM,01:55 AM,08:14 AM,06:30 PM,1,4,6,4,16,63,69,2.6,1004,10,10,229,11
2020-02-03,17,7,0.0,10.2,3,3,64,01:22 PM,02:55 AM,08:13 AM,06:31 PM,7,12,12,12,13,17,71,0.0,1011,17,10,170,8
