date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,5,2,0.1,6.5,1,1,37,12:55 PM,No moonset,08:44 AM,06:17 PM,-0,-0,3,-0,18,66,79,0.2,1015,5,10,252,14
2020-01-02,11,1,0.0,8.2,2,2,44,01:21 PM,12:36 AM,08:45 AM,06:18 PM,1,4,6,4,15,53,74,0.6,1013,11,9,201,8
2020-01-03,13,10,0.0,4.9,3,3,51,01:46 PM,01:33 AM,08:45 AM,06:19 PM,11,11,12,11,16,100,95,18.7,1009,13,8,204,10
2020-01-04,9,2,0.2,4.9,2,2,59,02:12 PM,02:29 AM,08:45 AM,06:20 PM,6,5,8,5,21,94,87,9.0,1011,9,7,274,16
2020-01-05,5,-3,1.2,8.2,1,1,66,02:40 PM,03:28 AM,08:45 AM,06:20 PM,-1,-3,1,-3,20,67,82,1.1,1021,5,8,238,14
2020-01-06,6,2,0.1,8.2,1,1,73,03:12 PM,04:28 AM,08:45 AM,06:21 PM,-0,2,4,2,13,49,78,0.2,1022,6,10,258,9
2020-01-07,6,-1,1.2,8.2,1,1,80,03:49 PM,05:31 AM,08:45 AM,06:22 PM,-1,0,3,0,14,46,83,7.3,1018,6,9,293,8
2020-01-08,4,-1,0.0,9.8,2,2,88,04:33 PM,06:34 AM,08:45 AM,06:23 PM,-4,-2,1,-2,19,13,69,0.0,1027,4,10,286,13
2020-01-09,12,-1,0.0,9.8,3,3,95,05:25 PM,07:38 AM,08:45 AM,06:24 PM,-1,2,4,2,15,40,67,0.0,1032,12,10,145,9
2020-01-10,17,6,0.0,8.3,4,4,100,06:25 PM,08:38 AM,08:44 AM,06:25 PM,6,9,11,9,23,58,71,0.0,1027,17,10,193,12
2020-01-11,24,13,0.0,9.8,5,5,100,07:33 PM,09:33 AM,08:44 AM,06:26 PM,12,17,18,17,32,52,71,4.3,1014,24,10,184,18
2020-01-12,10,5,0.0,6.6,2,2,83,08:44 PM,10:21 AM,08:44 AM,06:27 PM,5,7,9,7,18,62,79,0.1,1024,10,10,193,12
2020-01-13,13,5,0.0,9.8,3,3,76,09:56 PM,11:03 AM,08:44 AM,06:28 PM,5,8,8,8,9,60,85,0.0,1027,13,8,238,5
2020-01-14,16,8,0.0,8.3,3,3,69,11:08 PM,11:40 AM,08:43 AM,06:29 PM,9,12,13,12,13,50,89,1.0,1022,16,8,249,8
2020-01-15,16,5,0.0,8.3,3,3,61,No moonrise,12:12 PM,08:43 AM,06:30 PM,9,10,11,10,11,55,90,1.7,1020,16,8,172,7
2020-01-16,6,-1,0.0,8.3,2,2,54,12:18 AM,12:44 PM,08:43 AM,06:31 PM,1,3,6,3,19,47,76,0.8,1030,6,10,299,14
2020-01-17,2,-4,0.0,9.9,2,2,47,01:27 AM,01:15 PM,08:42 AM,06:32 PM,-8,-4,-1,-4,13,39,59,0.1,1039,2,10,67,9
2020-01-18,9,2,0.0,5.0,2,2,40,02:35 AM,01:48 PM,08:42 AM,06:33 PM,1,2,5,2,25,79,73,9.5,1019,9,8,197,15
2020-01-19,-3,-7,0.3,5.0,1,1,32,03:43 AM,02:23 PM,08:42 AM,06:34 PM,-7,-8,-3,-8,23,79,70,0.6,1021,-3,10,278,18
2020-01-20,-1,-8,0.0,9.9,1,1,25,04:50 AM,03:03 PM,08:41 AM,06:36 PM,-12,-8,-5,-8,9,44,61,0.0,1033,-1,10,338,7
2020-01-21,1,-7,0.0,10.0,2,2,18,05:54 AM,03:47 PM,08:41 AM,06:37 PM,-10,-6,-3,-6,8,19,64,0.0,1035,1,10,246,5
2020-01-22,6,-5,0.0,9.9,1,1,11,06:55 AM,04:37 PM,08:40 AM,06:38 PM,-10,-1,-0,-1,4,27,50,0.0,1030,6,10,205,3
2020-01-23,9,-2,0.0,5.0,1,1,3,07:51 AM,05:32 PM,08:39 AM,06:39 PM,-6,2,3,2,8,91,55,0.0,1024,9,10,135,4
2020-01-24,13,3,0.0,8.3,2,2,0,08:39 AM,06:30 PM,08:39 AM,06:40 PM,4,6,8,6,23,81,80,6.7,1016,13,8,150,13
2020-01-25,4,2,0.8,5.0,1,1,0,09:21 AM,07:30 PM,08:38 AM,06:41 PM,1,0,3,0,16,90,87,2.4,1016,4,8,239,13
2020-01-26,3,-1,0.4,5.0,1,1,4,09:57 AM,08:29 PM,08:37 AM,06:42 PM,-1,-3,1,-3,16,92,85,0.6,1017,3,8,248,12
2020-01-27,6,1,0.0,5.0,1,1,11,10:28 AM,09:28 PM,08:37 AM,06:43 PM,1,1,3,1,11,88,85,0.0,1014,6,10,284,8
2020-01-28,3,-1,0.1,5.0,1,1,18,10:56 AM,10:25 PM,08:36 AM,06:45 PM,-1,1,2,1,6,91,84,0.2,1019,3,10,279,4
2020-01-29,5,-4,0.0,10.1,2,2,26,11:22 AM,11:22 PM,08:35 AM,06:46 PM,-2,-1,1,-1,8,58,80,0.0,1021,5,9,47,5
2020-01-30,7,-1,0.1,5.1,1,1,33,11:48 AM,No moonset,08:34 AM,06:47 PM,-2,1,2,1,5,78,79,0.3,1023,7,9,194,3
2020-01-31,9,-1,0.0,5.1,2,2,37,12:13 PM,12:18 AM,08:34 AM,06:48 PM,2,3,4,3,6,83,89,0.3,1022,9,7,231,3
2020-02-01,6,-0,0.0,5.1,1,1,49,12:39 PM,01:16 AM,08:33 AM,06:49 PM,3,3,4,3,9,98,94,6.8,1015,6,7,277,6
2020-02-02,13,2,0.2,10.0,3,3,57,01:09 PM,02:14 AM,08:32 AM,06:50 PM,3,3,7,3,28,40,78,0.2,1008,13,10,244,19
2020-02-03,17,6,0.0,10.2,4,4,64,01:43 PM,03:14 AM,08:31 AM,06:52 PM,7,10,11,10,20,16,77,0.0,1012,17,8,213,11
2020-02-04,13,12,0.0,5.1,3,3,72,02:22 PM,04:16 AM,08:30 AM,06:53 PM,11,12,13,12,17,100,92,10.0,1011,13,7,212,11
2020-02-05,7,0,0.0,5.1,2,2,79,03:09 PM,05:18 AM,08:29 AM,06:54 PM,5,3,6,3,11,100,93,16.5,1012,7,8,39,9
2020-02-06,15,6,0.0,5.1,3,3,87,04:05 PM,06:19 AM,08:28 AM,06:55 PM,10,10,11,10,11,96,95,17.9,997,15,7,214,7
2020-02-07,1,-4,6.5,5.1,1,1,95,05:10 PM,07:17 AM,08:27 AM,06:56 PM,-2,-5,-1,-5,20,92,90,7.8,1003,1,5,276,15
