date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,1,-11,0.0,6.9,1,1,37,12:32 PM,No moonset,08:35 AM,05:31 PM,-7,-10,-5,-10,24,30,86,0.0,1003,1,10,207,14
2020-01-02,1,0,0.0,3.4,1,1,44,12:54 PM,12:05 AM,08:35 AM,05:31 PM,0,-3,1,-3,24,78,95,0.0,999,1,10,251,15
2020-01-03,-1,-5,0.0,3.4,1,1,51,01:16 PM,01:06 AM,08:35 AM,05:32 PM,-4,-6,-3,-6,14,78,92,0.0,1011,-1,9,295,9
2020-01-04,-4,-8,0.1,6.9,1,1,59,01:39 PM,02:07 AM,08:35 AM,05:33 PM,-7,-11,-6,-11,17,74,92,0.1,1018,-4,9,293,12
2020-01-05,1,-7,0.0,3.4,1,1,66,02:03 PM,03:09 AM,08:35 AM,05:34 PM,-4,-8,-3,-8,32,85,89,0.2,1012,1,7,257,22
2020-01-06,-1,-6,0.1,8.7,2,2,73,02:32 PM,04:13 AM,08:35 AM,05:35 PM,-6,-9,-4,-9,27,38,84,0.1,1018,-1,10,262,17
2020-01-07,-3,-10,0.0,6.9,2,2,80,03:06 PM,05:19 AM,08:35 AM,05:36 PM,-7,-11,-5,-11,30,58,85,0.0,1015,-3,10,281,21
2020-01-08,-12,-20,0.0,8.7,2,2,88,03:47 PM,06:25 AM,08:35 AM,05:37 PM,-17,-21,-16,-21,20,54,80,0.0,1030,-12,10,251,15
2020-01-09,3,-10,0.1,3.4,1,1,95,04:37 PM,07:31 AM,08:34 AM,05:39 PM,-4,-8,-3,-8,35,82,88,0.7,1014,3,9,166,21
2020-01-10,-4,-9,0.0,8.7,2,2,100,05:39 PM,08:31 AM,08:34 AM,05:40 PM,-6,-9,-4,-9,19,73,87,0.2,1021,-4,9,336,14
2020-01-11,-7,-10,0.1,8.7,2,2,100,06:48 PM,09:25 AM,08:34 AM,05:41 PM,-11,-16,-8,-16,29,43,79,0.0,1022,-7,10,37,23
2020-01-12,-7,-13,0.0,3.4,1,1,83,08:03 PM,10:10 AM,08:33 AM,05:42 PM,-11,-15,-10,-15,15,82,88,0.1,1026,-7,9,97,10
2020-01-13,-2,-7,2.6,3.4,1,1,76,09:19 PM,10:47 AM,08:33 AM,05:43 PM,-6,-8,-5,-8,13,84,94,3.0,1024,-2,6,203,9
